亡魂 ぼうこん	284-391-B
亢奮 こうふん	8-5736-B,18-1784-B,108-5140-B,289-3906-B
亢進 こうしん	3-303-B,107-5840-B,256-3556-B
交々 こもごも	11-4021-B
交える まじえる	191-3919-B
交ざる まざる	166-2764-B
交じる まじる	162-2230-B,166-2791-B
交す かわす	23-4914-B,91-3087-B,213-26-B
交ぜ合せる まぜあわせる	191-3948-B
交り番こに かわりばんこに	11-4055-B
交り番に かわりばんに	11-4107-B
交る まじる	162-2261-B,166-2818-B
交わす かわす	23-4939-B,91-3112-B,213-51-B
交わり まじわり	4-3825-B,163-1036-B
交わる まじわる	70-3684-B,162-2289-B,163-1001-B,166-2842-B
交互 こうご	11-3733-B,195-6127-B,243-5118-B
交交 こもごも	11-4153-B
交付者 こうふしゃ	92-240-B
交付金 こうふきん	34-3845-B,135-3632-B,294-4119-B
交代 こうたい	11-4628-B,46-474-B,248-185-B,248-1705-B,271-2785-B
交代で こうたいで	11-4187-B
交信 こうしん	66-5174-B
交叉 こうさ	70-4935-B,163-1074-B
交叉点 こうさてん	70-4963-B,163-1106-B
交友 こうゆう	56-3123-B,127-182-B
交声曲 こうせいきょく	41-3358-B
交宜 こうぎ	12-3043-B,127-1168-B
交尾む つるむ	184-4623-B
交差 こうさ	70-3715-B
交差点 こうさてん	70-5000-B,163-1147-B
交情 こうじょう	127-1198-B,163-2704-B
交感 こうかん	240-4378-B
交戦 こうせん	26-4569-B,328-4850-B
交換 こうかん	26-1266-B,108-3987-B,162-1368-B,243-5476-B,294-6234-B
交換品 こうかんひん	311-1643-B
交易 こうえき	55-4385-B,311-1339-B
交替 こうたい	11-4662-B,46-503-B,248-213-B,248-1734-B,271-2813-B
交歓会 こうかんかい	243-3472-B
交流 こうりゅう	162-1706-B
交絡 こうらく	163-74-B
交誼 こうぎ	12-3068-B,127-1234-B
交譲 こうじょう	58-4899-B,59-2864-B
交通 こうつう	56-2068-B,162-1743-B,311-3237-B,313-0-B
交通遮断 こうつうしゃだん	31-5481-B,238-174-B
交通量 こうつうりょう	311-3267-B
交遊 こうゆう	127-211-B,127-1264-B
交配 こうはい	70-4366-B,184-6005-B
交錯 こうさく	58-1163-B,191-4678-B
交錯した こうさくした	163-4987-B
交附 こうふ	78-6249-B,135-3666-B
交際 こうさい	4-3863-B,20-5674-B,56-4170-B,127-1297-B,279-5267-B
交際場裏 こうさいじょうり	279-5297-B
交際好き こうさいずき	279-4639-B
交際嫌い こうさいぎらい	320-6133-B
交際法 こうさいほう	106-867-B
交際社会 こうさいしゃかい	279-5345-B
交霊術 こうれいじゅつ	284-1721-B
交響 こうきょう	254-3770-B
交響曲 こうきょうきょく	301-470-B
交驩 こうかん	126-1887-B
亦 また	8-1535-B,11-2871-B
亨通 こうつう	234-3613-B
亨運 こううん	234-2770-B
享受 きょうじゅ	3-1240-B,102-1523-B,243-3513-B
享受者 きょうじゅしゃ	243-4774-B
享有 きょうゆう	102-1558-B,225-5267-B
享楽 きょうらく	102-1593-B,222-5961-B
享楽主義 きょうらくしゅぎ	143-1618-B
京 みやこ	41-4656-B,188-3942-B
京師 けいし	41-4680-B,188-3969-B
京洛 きょうらく	41-4707-B
京洛 けいらく	41-4740-B
京華 けいか	41-4770-B
京風 きょうふう	245-5440-B,321-4039-B
亭主 ていしゅ	147-4471-B,149-2088-B,159-719-B,170-4365-B,184-1529-B
亭亭 ていてい	177-4492-B
亭午 ていご	200-2209-B
亮察 りょうさつ	62-2047-B
亮然たる りょうぜんたる	51-896-B,203-2973-B
人 じん	182-339-B,216-2645-B,218-1397-B
