恐竜 きょうりゅう	85-662-B
恐縮 きょうしゅく	270-2963-B
恐龍 きょうりゅう	85-699-B
恒久 こうきゅう	217-4236-B,217-5921-B
恒久性 こうきゅうせい	217-5957-B
恒久的 こうきゅうてき	171-1988-B,217-4271-B,217-5694-B
恒例 こうれい	73-511-B
恒常 こうじょう	62-5985-B
恒常性 こうじょうせい	62-6020-B,146-3156-B
恒常的 こうじょうてき	62-6429-B
恒心 こうしん	62-6064-B,288-1681-B
恒性 こうせい	62-6096-B
恒温器 こうおんき	155-3529-B
恒等式 こうとうしき	150-1812-B
恙ない つつがない	260-2282-B,331-3504-B
恙無い つつがない	260-2315-B,331-3537-B
恢復 かいふく	153-3895-B,247-1244-B,253-981-B
恣意 しい	17-2421-B,267-394-B
恣意性 しいせい	17-2451-B
恣意的 しいてき	266-6703-B
恥 はじ	99-3120-B,270-2997-B
恥さらし はじさらし	87-3200-B
恥じらい はじらい	273-2649-B
恥じらう はじらう	32-2490-B
恥ずかしい はずかしい	273-2454-B
恥ずかしがる はずかしがる	32-2524-B
恥ずべき はずべき	87-3740-B,270-3214-B
恥晒し はじさらし	87-3240-B
恥曝し はじさらし	87-3277-B
恥毛 ちもう	235-6367-B
恥辱 ちじょく	87-3314-B,161-2118-B,270-3016-B
恥部 ちぶ	131-939-B
恥骨 ちこつ	235-6342-B
恨み うらみ	251-4270-B
恨み言 うらみごと	137-4472-B
恨む うらむ	72-3986-B
恨めしい うらめしい	31-317-B,141-3884-B,250-5830-B
恨めし気に うらめしげに	250-5873-B
恩 おん	116-2030-B,202-4168-B
恩人 おんじん	29-1194-B,214-3814-B
恩借 おんしゃく	34-324-B,177-1422-B
恩典 おんてん	116-2050-B
恩寵 おんちょう	116-2079-B,134-4603-B
恩恵 おんけい	29-1633-B,31-4391-B,116-1203-B,134-4634-B
恩情 おんじょう	7-5046-B,56-6501-B
恩愛 おんあい	179-501-B
恩沢 おんたく	29-1663-B,116-2111-B
恩知らず おんしらず	158-2507-B
恩給 おんきゅう	216-2194-B
恩義 おんぎ	116-2140-B,202-4192-B
恩誼 おんぎ	116-2166-B,202-4222-B
恩賞 おんしょう	255-2168-B
恩赦 おんしゃ	12-3455-B
恩顧 おんこ	116-2192-B,214-4055-B
恫喝 どうかつ	32-2822-B,163-3842-B,307-1999-B
恬淡 てんたん	87-5808-B
恬然 てんぜん	40-4342-B,215-1814-B
恭しい うやうやしい	252-4081-B,254-4592-B
恭しく うやうやしく	252-4234-B,254-4632-B
恭倹 きょうけん	77-4698-B
恭敬 きょうけい	252-3459-B,254-4342-B,324-3080-B
恭謙 きょうけん	148-5414-B,192-2305-B
恭順 きょうじゅん	10-3500-B
息 いき	35-5538-B,309-4570-B
息の下 いきのした	130-818-B
息の根 いきのね	174-5842-B
息の緒 いきのお	174-5872-B
息をする いきをする	35-5639-B
息を吐く いきをはく	109-2137-B
息を弾ませる いきをはずませる	130-851-B,211-5523-B
息を飲むような いきをのむような	35-5807-B,307-3578-B
息休め いきやすめ	252-6281-B
息吹 いぶき	35-5558-B
息吹き いぶき	35-5584-B
息子さん むすこさん	281-1342-B
息巻く いきまく	102-4264-B,158-1782-B
息張る いきばる	290-5921-B
息急き切る いきせききる	130-902-B,211-5574-B
息抜き いきぬき	247-6945-B
息苦しい いきぐるしい	49-1793-B,206-3741-B
息衝く いきづく	35-5678-B,130-944-B,273-4418-B
息遣い いきづかい	35-5740-B,252-4747-B
恰も好し あたかもよし	125-699-B,179-3782-B
恰好 かっこう	15-5611-B,124-3582-B,182-5219-B,226-2844-B,270-4320-B,296-1840-B
恰幅 かっぷく	219-6372-B
恰度 ちょうど	107-3318-B,167-4434-B,256-109-B
恵み めぐみ	31-4422-B
恵む めぐむ	31-4168-B
恵与 けいよ	132-2886-B,229-1348-B
恵沢 けいたく	29-1693-B,31-4450-B,116-1231-B,221-1964-B
恵贈 けいぞう	229-1380-B
悄悄 しおしお	78-2358-B,260-1723-B
悄悄 しょうしょう	78-2391-B,260-1751-B
悄悄 すごすご	78-2430-B,260-1785-B
悄然 しょうぜん	78-2527-B
悉く ことごとく	11-5341-B,103-1488-B
悉に つぶさに	57-6238-B
悉皆 しっかい	10-2443-B
悋嗇 りんしょく	190-4070-B,190-4926-B,276-2523-B,289-4751-B
悋気 りんき	166-1230-B
悌順 ていじゅん	202-1937-B
悍ましい おぞましい	87-4494-B,251-254-B
悍馬 かんば	37-1245-B
悔い くい	246-5652-B,249-6768-B
悔いる くいる	246-5675-B
悔い改め くいあらため	249-6795-B
悔い改める くいあらためる	249-6618-B
悔しい くやしい	246-6126-B
悔しさ くやしさ	45-4333-B
悔し涙 くやしなみだ	45-4366-B,325-2273-B
悔む くやむ	194-3864-B,246-5704-B,249-6665-B
悔やしい くやしい	246-6163-B
悔やし涙 くやしなみだ	45-4405-B,325-2313-B
悔やむ くやむ	194-3889-B
悔恨 かいこん	246-5730-B
悔悛 かいしゅん	64-2738-B,249-6840-B
悔悟 かいご	249-299-B
悔改める くいあらためる	249-6691-B
悖る もとる	206-2199-B
悖徳 はいとく	67-131-B,151-5965-B
悟り さとり	58-3956-B,318-2802-B
悟る さとる	86-1532-B,216-3698-B,318-1965-B
悟性 ごせい	318-2835-B,333-5498-B
悠々 ゆうゆう	40-4369-B,173-3938-B,238-5589-B
悠々たる ゆうゆうたる	40-4396-B,96-4561-B,238-5617-B
悠久 ゆうきゅう	105-6377-B,217-3583-B,217-6002-B
悠悠 ゆうゆう	40-4435-B,173-3970-B,238-5657-B
悠悠たる ゆうゆうたる	40-4462-B,96-4600-B,238-5685-B
悠揚 ゆうよう	40-4501-B
悠然 ゆうぜん	40-5038-B
悠遠 ゆうえん	115-165-B,249-573-B
悠長 ゆうちょう	78-3921-B,173-4002-B,278-27-B
患い わずらい	150-5686-B,273-2917-B
患難 かんなん	8-177-B
悦に入る えつにいる	132-5035-B
悦ばしい よろこばしい	78-5672-B,167-142-B
悦び よろこび	78-5468-B,135-5736-B,166-5591-B,223-87-B,240-4438-B
悦楽 えつらく	102-1628-B,223-118-B
悧巧 りこう	36-2330-B,51-3672-B,161-4812-B,271-0-B,273-120-B,334-89-B
悩ましい なやましい	170-5596-B,186-5357-B,265-5849-B
悩ます なやます	8-111-B,140-3675-B,192-3892-B,310-1950-B
悩み なやみ	9-84-B,13-2984-B,89-6544-B,231-2659-B,335-3180-B
悩乱 のうらん	13-3011-B,335-3205-B
悩殺 のうさつ	29-5191-B,100-4410-B,115-1785-B
悪 あく	107-2667-B,332-5029-B
悪々戯 わるいたずら	190-2920-B
悪い にくい	1-5106-B,82-5317-B,84-1200-B,140-4448-B
悪い わるい	24-4670-B,157-3670-B
悪く言う わるくいう	80-3496-B,311-3171-B
悪さ わるさ	24-4842-B
悪し あし	107-2685-B
悪し様 あしざま	319-1026-B
悪たれ あくたれ	258-4186-B
悪たれ口 あくたれぐち	2-5601-B,161-2147-B,276-4776-B
悪の巷 あくのちまた	318-4680-B
悪ふざけ わるふざけ	147-3212-B,227-2219-B
悪事 あくじ	69-5983-B,332-5053-B
悪人 あくにん	326-619-B
悪党 あくとう	240-5384-B,263-4618-B,326-649-B
悪化 あっか	8-4502-B,67-164-B,78-1110-B
悪口 あっこう	2-5641-B,161-2188-B,276-4818-B
悪口 わるくち	2-5669-B,161-2217-B,276-4848-B
悪口 わるぐち	2-5697-B,161-2246-B,276-4878-B
悪名高い あくみょうたかい	157-2183-B,201-1074-B
悪名高い あくみょうだかい	157-2232-B,201-1124-B
悪夢 あくむ	199-2581-B
悪寒 おかん	9-2351-B,48-4887-B
悪巧み わるだくみ	62-5466-B,163-5289-B,314-1804-B
悪巫山戯 わるふざけ	147-3253-B,227-2256-B
悪弊 あくへい	2-5725-B,107-2706-B,325-3149-B
悪役 あくやく	326-679-B
悪徒 あくと	240-5413-B,263-4650-B,326-709-B
悪徳 あくとく	67-194-B,151-5998-B,325-3176-B
悪心 おしん	197-2211-B
悪念 あくねん	284-2100-B
悪性 あくしょう	174-2041-B,174-4859-B
悪性 あくせい	181-5529-B,326-4532-B
悪性度 あくせいど	181-5562-B
悪悪戯 わるいたずら	190-2960-B
悪意 あくい	181-5235-B,284-2128-B
悪感情 あくかんじょう	13-3927-B
悪感情 あっかんじょう	13-3971-B
悪態をつく あくたいをつく	72-4011-B
悪戯 あくぎ	190-3000-B,227-2293-B,303-3181-B,314-1838-B
悪戯 いたずら	190-3028-B,227-2318-B,303-3206-B,314-1863-B
悪戯書 いたずらがき	135-958-B
悪戯書き いたずらがき	135-998-B
悪推量 わるずいりょう	90-1593-B
悪政 あくせい	190-6051-B
悪気 わるぎ	90-1636-B,181-5261-B
悪漢 あっかん	70-3287-B,240-5439-B,259-586-B,263-4679-B,326-736-B
悪玉 あくたま	326-766-B
悪玉 あくだま	326-796-B
悪用 あくよう	2-5753-B,191-3584-B,218-4879-B
悪疫 あくえき	103-6051-B
悪癖 あくへき	325-3203-B
悪癖 わるぐせ	325-3230-B
悪知恵 わるじえ	69-74-B,72-1119-B,138-3443-B
悪知恵 わるぢえ	69-105-B,72-1152-B,138-3474-B
悪罵 あくば	72-4057-B,325-5812-B
悪習 あくしゅう	325-3257-B
悪者 わるもの	240-5468-B,259-616-B,263-4711-B
悪臭 あくしゅう	288-3933-B,289-5059-B
悪舌 あくした	134-2417-B
悪舌 あくぜつ	134-2446-B
悪虐 あくぎゃく	21-3130-B,313-2328-B,313-2746-B
悪虐無道 あくぎゃくむどう	143-2523-B,313-1992-B,313-2839-B
悪行 あくぎょう	332-5083-B
悪行 あっこう	332-5119-B
悪言 あくげん	276-4908-B
悪計 あくけい	223-1649-B,314-1891-B
悪計 あっけい	223-1676-B,314-1919-B
悪評 あくひょう	157-2281-B
悪賢い わるがしこい	69-505-B,72-1185-B,278-1915-B,333-2619-B
悪質 あくしつ	181-5601-B,181-5634-B,325-3789-B
悪逆 あくぎゃく	21-3164-B,313-2363-B,313-2779-B
悪逆無道 あくぎゃくむどう	143-2571-B,313-2044-B,313-2890-B
悪遊び わるあそび	129-2718-B,227-2346-B
悪風 あくふう	325-3287-B
悪餓鬼 わるがき	35-1766-B
悪鬼 あっき	79-3048-B,83-590-B
悪魔 あくま	79-3073-B,83-615-B,118-1634-B
悪魔払い あくまばらい	109-5809-B
悲しい かなしい	260-1329-B,281-4432-B
悲しげに かなしげに	260-1813-B
悲しさ かなしさ	136-5468-B,260-1983-B,281-4104-B
悲しみ かなしみ	136-5499-B,260-2016-B,281-4136-B
悲しむ かなしむ	246-5759-B
悲傷 ひしょう	136-5530-B
悲劇 ひげき	311-3405-B
悲劇的 ひげきてき	311-3485-B
悲哀 ひあい	136-5558-B,260-2049-B,281-4168-B
悲喜こもごも ひきこもごも	31-722-B
悲喜交々 ひきこもごも	31-774-B
悲喜交交 ひきこもごも	31-820-B
悲嘆 ひたん	13-3041-B,136-5583-B,170-2900-B,281-4194-B
悲境 ひきょう	7-1752-B
悲壮 ひそう	214-1956-B,310-4028-B,311-3520-B
悲惨 ひさん	86-1080-B,221-1051-B
悲愁 ひしゅう	136-5608-B
悲愴 ひそう	214-1984-B,260-1358-B
悲憤 ひふん	156-1571-B,251-4300-B
悲曲 ひきょく	98-5617-B
悲歌 ひか	85-3644-B,98-5645-B
悲歎 ひたん	13-3068-B,136-5636-B,170-2931-B,281-4220-B
悲況 ひきょう	7-1784-B
悲痛 ひつう	31-572-B,214-2374-B
悲観 ひかん	86-135-B,218-5307-B
悲観的 ひかんてき	218-5685-B
悲観論 ひかんろん	218-5336-B
悲観論者 ひかんろんしゃ	218-5558-B
悲運 ひうん	115-4850-B
悲鳴 ひめい	264-177-B,273-373-B
悶え もだえ	9-109-B,13-3095-B
悶える もだえる	335-3233-B
悶着 もんちゃく	89-66-B,238-778-B,315-72-B
悼む いたむ	170-2537-B,194-3917-B
悽絶 せいぜつ	131-5217-B,137-4851-B,180-300-B
情 じょう	99-6232-B,213-5581-B
情け なさけ	56-6537-B,301-275-B
情けない なさけない	80-1606-B,190-4274-B,221-592-B,270-3251-B
情け容赦 なさけようしゃ	187-4672-B
情け深い なさけぶかい	57-66-B
情け無い なさけない	80-1648-B,190-4315-B,221-632-B,270-3291-B
情け知らず なさけしらず	221-1351-B
情ない なさけない	80-1690-B,190-4356-B,221-672-B,270-3331-B
情の籠もった じょうのこもった	300-5632-B
情事 じょうじ	174-2552-B
情交 じょうこう	163-2800-B
情人 じょうじん	179-1514-B,191-2755-B,300-0-B
情人 じょうにん	179-1545-B,191-2789-B,300-36-B
情勢 じょうせい	60-0-B,275-4440-B
情味 じょうみ	22-3028-B,47-260-B,148-4392-B
情報 じょうほう	198-6425-B
情報学 じょうほうがく	158-445-B
情夫 いろ	179-1576-B
情夫 じょうふ	179-1598-B
情婦 じょうふ	179-1626-B,191-2823-B,234-4384-B
情宜 じょうぎ	117-1108-B
情意 じょうい	99-6256-B,117-0-B,333-1715-B
情愛 じょうあい	7-5081-B,179-528-B
情感 じょうかん	99-6286-B,117-30-B,267-5680-B
情慾 じょうよく	180-496-B,213-5605-B
情操 じょうそう	268-90-B
情景 じょうけい	262-5446-B,273-4493-B,283-969-B
情況 じょうきょう	275-4475-B
情深い なさけぶかい	57-114-B
情炎 じょうえん	213-5638-B
情無い なさけない	80-1729-B,190-4394-B,221-709-B,270-3368-B
情熱 じょうねつ	103-390-B,213-5671-B,337-1159-B
情知らず なさけしらず	221-1397-B
情緒 じょうしょ	99-6319-B,117-63-B
情緒 じょうちょ	99-6352-B,117-96-B
情誼 じょうぎ	117-1141-B
情調 じょうちょう	21-2390-B,193-3723-B,268-125-B
情趣 じょうしゅ	193-3756-B,268-163-B
惇朴 とんぼく	274-3645-B
惇樸 とんぼく	274-3674-B
惑い まどい	29-5062-B,79-719-B,151-474-B,157-3037-B,217-6473-B
惑わす まどわす	29-4924-B,217-6338-B,237-3955-B
惑乱 わくらん	29-5094-B,61-318-B
惑星 わくせい	222-718-B
惚け ぼけ	123-417-B,150-2623-B
惚ける ぼける	113-1518-B
惚れ惚れ ほれぼれ	47-1099-B,122-5688-B
