警句 けいく	15-2829-B
警告 けいこく	7-2271-B,329-1222-B
警報 けいほう	9-5028-B,329-1252-B
警報機 けいほうき	9-5056-B
警官 けいかん	224-1834-B
警察 けいさつ	224-1706-B
警戒 けいかい	6-4453-B,178-2773-B,325-5385-B
警戒ぶり けいかいぶり	138-252-B
警戒心 けいかいしん	329-0-B
警手 けいしゅ	22-230-B,138-292-B,273-5627-B
警棒 けいぼう	26-4279-B
警笛 けいてき	9-5090-B,122-3076-B,147-2350-B,332-2646-B
警衛 けいえい	105-596-B,138-320-B,214-3547-B
警護 けいご	32-4476-B,105-625-B
警邏 けいら	214-3576-B
警醒 けいせい	329-1282-B
警防 けいぼう	138-348-B
譫妄 せんもう	78-5886-B
譬え たとえ	10-3793-B,188-2210-B,274-3094-B
譬える たとえる	56-5466-B,151-633-B,175-3559-B
譬え話 たとえばなし	10-3821-B,112-4205-B
譬喩 ひゆ	188-2238-B,274-3120-B
議会 ぎかい	212-5654-B
議士 ぎし	67-2781-B,173-3285-B
議定 ぎじょう	9-1892-B
議定 ぎてい	9-1924-B
議定書 ぎていしょ	234-6692-B
議決 ぎけつ	76-2613-B,252-2379-B,327-5474-B
議論 ぎろん	17-5666-B,87-2207-B,89-633-B
議長 ぎちょう	45-4872-B
議題 ぎだい	8-3524-B
譲り受ける ゆずりうける	158-3128-B,243-2083-B
譲り合う ゆずりあう	58-5271-B
譲り渡す ゆずりわたす	44-4872-B
譲る ゆずる	20-2526-B,65-1460-B,267-1032-B,299-347-B,312-6144-B,336-4865-B
譲与 じょうよ	312-2705-B
譲位 じょうい	1-2426-B
譲歩 じょうほ	58-5313-B,59-3044-B,59-3317-B
譲渡 じょうと	20-3395-B
譲渡人 じょうとにん	20-3428-B,312-2830-B
譲渡人 ゆずりわたしにん	20-3468-B,312-2872-B
譲渡担保 じょうとたんぽ	194-676-B
譴責 けんせき	45-250-B,243-26-B,250-5469-B,250-6363-B
護持 ごじ	234-5629-B,298-852-B
護符 ごふ	12-4891-B,47-708-B,302-1556-B
護衛 ごえい	65-1985-B,105-651-B,138-376-B
護謨 ごむ	104-3799-B,138-4400-B,258-4852-B
護身 ごしん	266-5707-B
護送 ごそう	65-2011-B
讃える たたえる	111-5395-B
讃歌 さんか	106-1516-B,210-6166-B
讃美 さんび	6-5387-B,133-1088-B,227-1804-B
讃美歌 さんびか	149-4071-B,149-4161-B
讃賞 さんしょう	227-1830-B
讒口 ざんこう	77-2350-B,276-5181-B
讒言 ざんげん	77-2383-B,276-5211-B
讒訴 ざんそ	276-5241-B
讒誣 ざんぶ	276-5268-B
讒謗 ざんぼう	77-2416-B,174-2980-B,276-5295-B
讚嘆 さんたん	6-2896-B
讚歌 さんか	210-6191-B
讚美 さんび	6-5416-B,133-1121-B,227-1862-B
讚美歌 さんびか	149-4101-B,149-4193-B
讚辞 さんじ	227-1888-B
谷 たに	323-1845-B
谷 や	323-1865-B
