仕分ける しわける	50-5527-B
仕切り しきり	34-2530-B,56-5980-B,91-223-B,213-2479-B
仕切る しきる	90-4866-B,213-2511-B
仕口 しくち	188-2994-B,330-914-B
仕合わせ しあわせ	31-4261-B,140-2620-B,179-3479-B
仕向け しむけ	78-6277-B,267-2920-B,313-4193-B
仕向ける しむける	156-5571-B,267-2304-B,304-2320-B,313-3631-B
仕向る しむける	156-5606-B,267-2337-B,304-2354-B,313-3665-B
仕始める しはじめる	28-1677-B,287-2853-B
仕形 しかた	68-790-B,188-3020-B,252-2941-B,330-937-B
仕手 して	144-2691-B,234-5117-B
仕打ち しうち	4-5888-B,28-3561-B,313-4225-B
仕拵え しこしらえ	228-4453-B
仕掛 しかけ	45-5194-B,55-3091-B,83-329-B,129-43-B,185-5243-B,314-1639-B
仕掛かり しかかり	55-3123-B
仕掛け しかけ	45-5223-B,55-3164-B,83-355-B,129-69-B,185-5272-B,314-1664-B
仕掛ける しかける	45-5255-B,55-3054-B
仕掛け人 しかけにん	160-6023-B
仕損じる しそんじる	32-1619-B,113-2067-B
仕損ずる しそんずる	113-2103-B
仕損なう しそこなう	32-1658-B,113-2139-B,191-491-B
仕方 しかた	68-816-B,188-3046-B,252-2969-B,330-960-B
仕方なく しかたなく	143-5417-B,248-3250-B
仕方無く しかたなく	143-5459-B,248-3293-B
仕方無しに しかたなしに	143-5501-B,248-3336-B
仕来たり しきたり	73-224-B,207-1226-B
仕来り しきたり	73-259-B,207-1264-B
仕業 しわざ	4-5507-B,4-5917-B,77-1168-B
仕様 しよう	188-3072-B,248-5269-B,252-2997-B,330-983-B
仕様のない しようのない	147-1625-B,155-1654-B
仕様の無い しようのない	147-1671-B,155-1704-B
仕樣 しよう	188-3098-B,248-5295-B,252-3025-B,330-1006-B
仕留める しとめる	168-3197-B
仕直す しなおす	248-4501-B,253-3374-B
仕着 しきせ	176-5867-B
仕種 しぐさ	4-5767-B,4-5943-B,27-1725-B,28-3592-B,131-4673-B,313-4257-B
仕立て したて	181-4791-B,228-4493-B,269-5142-B
仕立てる したてる	181-3492-B,228-5203-B,301-6213-B,311-4002-B
仕立て屋 したてや	93-4429-B,301-6248-B
仕立て物 したてもの	269-5171-B
仕立物 したてもの	269-5209-B
仕組 しくみ	18-3133-B,63-593-B,64-2810-B,223-1490-B
仕組み しくみ	18-3164-B,63-625-B,64-2841-B,223-1514-B
仕組む しくむ	18-2211-B,83-808-B,221-5519-B,223-1541-B
仕置 しおき	109-494-B,236-3924-B
仕置き しおき	109-523-B,236-3954-B
仕置者 しおきもの	70-144-B
仕舞 しまい	304-5729-B
仕舞 じまい	304-5760-B
仕舞い しまい	304-5791-B
仕舞い じまい	304-5825-B
仕舞い込む しまいこむ	145-5550-B
仕舞う しまう	52-1345-B,119-1897-B
仕草 しぐさ	4-5793-B,4-5969-B,27-1752-B,28-3620-B,131-4700-B,313-4286-B
仕訳 しわけ	50-5013-B
仕訳ける しわける	50-5564-B
仕込 しこみ	228-4527-B,311-4731-B
仕込み しこみ	228-4558-B,311-4759-B
仕込む しこむ	97-3629-B,228-5239-B,290-0-B,303-1621-B,311-4036-B
仕返し しかえし	250-5617-B,253-4888-B,254-3025-B
仕送り しおくり	11-0-B,248-6330-B
仕遂げる しとげる	3-5008-B,119-1926-B,127-5710-B
他人 あだびと	209-2229-B,291-1465-B
他人 たにん	209-2260-B,291-1496-B
他国人 たこくじん	10-979-B,123-4792-B,291-1524-B
他国者 たこくもの	291-1561-B
他律 たりつ	294-516-B,294-2773-B
他心 たしん	117-6163-B
他念無く たねんなく	96-299-B,162-229-B
他意 たい	118-0-B,181-5102-B
他愛 たあい	11-5407-B
他愛ない たわいない	2-3687-B,48-3914-B,96-4183-B,123-1129-B,138-3505-B,274-2151-B
他愛もない たわいもない	2-3725-B,48-3954-B,96-4219-B,123-1168-B,138-3546-B,274-2188-B
他愛も無い たわいもない	2-3769-B,48-4000-B,96-4261-B,123-1213-B,138-3593-B,274-2231-B
他愛無い たわいない	2-3813-B,48-4046-B,96-4303-B,123-1258-B,138-3640-B,274-2274-B
他所者 よそもの	209-2288-B,291-1598-B
他日 たじつ	144-1178-B
他生 たしょう	312-5604-B
他界 たかい	75-2712-B
他者間 たしゃかん	195-1059-B
他聞 たぶん	158-1319-B
他薦 たせん	244-2672-B
他薦 たぜん	244-2706-B
仗 じょう	41-2679-B
仗 つえ	41-2700-B
付 ふ	7-6377-B,16-625-B
付いて行く ついていく	122-3861-B
付いて行ける ついていける	122-3902-B,318-1566-B
付かず離れず つかずはなれず	155-3950-B
付かたり つかたり	3-1942-B,5-3054-B,16-790-B,16-1203-B,57-4530-B,109-0-B,297-5006-B
付き つき	15-5122-B,153-990-B,279-4976-B,309-1060-B,317-7609-B
付き づき	15-5149-B,153-1017-B,279-5002-B,309-1079-B,317-7631-B
付き人 つきびと	21-6374-B
付き合い つきあい	20-5708-B,117-973-B
付き従う つきしたがう	3-3864-B,120-5078-B,122-3949-B
付き添い つきそい	21-6409-B,46-3259-B,105-410-B,253-5419-B
付き添い人 つきそいにん	21-6447-B
付き添う つきそう	3-3908-B,46-3426-B
付き物 つきもの	3-1980-B,3-3548-B,16-828-B
付き者 つきもの	21-6494-B,72-3793-B
付き随う つきしたがう	3-3946-B,120-5120-B,122-3990-B
付く つく	3-3990-B,5-5199-B,5-6507-B,122-4031-B,155-1906-B
付け つけ	30-1916-B
付け づけ	74-4378-B,111-4687-B
付ける つける	5-2586-B,7-6393-B,16-642-B,115-3030-B,133-2574-B,166-2872-B,270-347-B,289-720-B
付け人 つけびと	20-4870-B,21-6529-B,46-3296-B,296-2513-B
付け出し つけだし	3-6339-B,30-1937-B
付け出す つけだす	46-4833-B
付け加えると つけくわえると	5-3803-B
付け回す つけまわす	122-4054-B,270-376-B
付け回る つけまわる	122-4092-B,270-414-B
付け届け つけとどけ	229-33-B,308-5209-B
付け所 つけどころ	325-5127-B
付け掛け つけかけ	209-4061-B
付け換える つけかえる	249-1800-B,250-582-B
付け替え つけかえ	250-1323-B
付け替える つけかえる	249-1840-B,250-624-B
付け札 つけふだ	169-4460-B,301-5883-B
付け根 つけね	26-1393-B,70-5474-B,166-3477-B,257-4981-B
付け火 つけび	154-883-B
付け焼き刃 つけやきば	7-4598-B,229-4997-B
付け紙 つけがみ	169-4491-B,277-3769-B,301-5912-B
付け薬 つけぐすり	178-4850-B,204-4290-B
付け足し つけたし	5-3091-B,16-1240-B,226-2035-B,297-5045-B
付け足り つけたり	5-3128-B,229-5375-B
付け込み つけこみ	33-2673-B,103-3527-B
付与 ふよ	11-35-B,20-2804-B,101-3890-B,135-3691-B
付人 つけびと	20-4905-B,21-6564-B,46-3330-B,296-2544-B
付出し つけだし	3-6375-B,30-1970-B
付加 ふか	5-3165-B,13-4537-B,16-863-B
付属 ふぞく	23-3149-B,28-5961-B,80-1088-B,154-2079-B,294-2553-B
付属品 ふぞくひん	3-2015-B
付属書 ふぞくしょ	16-1277-B
付属物 ふぞくぶつ	3-2053-B,16-889-B
付帯 ふたい	3-2091-B,54-1655-B,154-2109-B,265-701-B
付帯的 ふたいてき	3-2120-B,154-2139-B,265-730-B
付注 ふちゅう	13-5418-B,55-3526-B
付添 つきそい	21-6596-B,46-3361-B,105-445-B,253-5455-B
付添い つきそい	21-6628-B,46-3392-B,105-474-B,253-5485-B
付着 ふちゃく	5-5496-B,8-4124-B,53-4404-B
付着力 ふちゃくりょく	5-5527-B
付箋 ふせん	169-4522-B,277-3799-B,301-5941-B
付言 ふげん	226-2074-B
付記 ふき	5-3190-B,16-1314-B,200-4385-B
付議 ふぎ	75-3379-B,87-1604-B
付足し つけたし	5-3215-B,16-1339-B,226-2104-B,297-5084-B
付近 ふきん	198-2218-B,325-3371-B
付録 ふろく	16-1373-B,297-5120-B
付随 ふずい	22-501-B,59-4952-B
付随現象 ふずいげんしょう	59-4983-B
仙 せん	144-2383-B,334-3129-B
仙 せんと	45-595-B
仙人 せんにん	113-5057-B,144-2403-B,334-3149-B
仙人掌 さぼてん	39-5426-B
仙境 せんきょう	113-5263-B
仙女 せんじょ	99-150-B,113-5085-B,202-1244-B
仙女 せんにゅ	99-176-B,113-5113-B,202-1272-B
仙女 せんにょ	99-202-B,113-5141-B,202-1300-B
仙薬 せんやく	211-4788-B
仙術 せんじゅつ	334-3245-B
仙郷 せんきょう	113-5298-B
代 しろ	230-537-B,294-6269-B
代 だい	67-1458-B,230-556-B
代 よ	8-2058-B,130-5840-B,279-5423-B,335-2084-B
代々 だいだい	144-1403-B
代々 よよ	144-1436-B
代え かえ	235-3291-B,294-5418-B
代える かえる	108-4018-B,162-1402-B,250-666-B,294-5445-B
代り かわり	11-3762-B,57-1199-B,80-5038-B,235-3313-B,248-1763-B,294-5478-B
代り代り かわりがわり	11-4227-B
代り役 かわりやく	92-1932-B,287-255-B
代り番こに かわりばんこに	11-4273-B
代り番に かわりばんに	11-4325-B
代る かわる	248-2259-B
代る代る かわるがわる	11-4371-B
代わり かわり	11-3791-B,57-1231-B,80-5064-B,235-3338-B,248-1789-B,294-5508-B
代わり番こ かわりばんこ	11-4417-B
代わる かわる	248-2286-B
代わる代わる かわるがわる	11-4466-B
代人 だいにん	8-3637-B,80-5093-B,235-3366-B,250-4297-B,294-5541-B
代代 だいだい	144-1463-B
代代 よよ	144-1496-B
代任 だいにん	8-2810-B
代位 だいい	294-6295-B
代価 だいか	46-4868-B,67-1476-B,230-575-B
代償 だいしょう	57-1266-B,62-2086-B,155-5193-B,249-4429-B
代入 だいにゅう	294-6327-B
代名詞 だいめいし	233-3491-B
代員 だいいん	235-3394-B
代将 だいしょう	55-6094-B
代弁者 だいべんしゃ	194-4780-B,284-5587-B
代役 だいやく	92-1967-B,287-292-B
代数 だいすう	10-206-B
代数学 だいすうがく	10-236-B
代書 だいしょ	12-224-B,264-1490-B
代書人 だいしょにん	12-257-B,264-1519-B
代替 だいがえ	294-2979-B,294-6365-B
代替 だいがわり	294-3013-B,294-6400-B
代替 だいたい	294-3050-B,294-6438-B
代替え だいがえ	294-3084-B,294-6473-B
代母 だいぼ	133-5448-B
代父 だいふ	133-5312-B
代物 しろもの	7-4084-B,19-663-B,117-735-B,306-3186-B
代物 だいぶつ	294-5574-B
代理 だいり	8-2839-B,8-3665-B,11-3823-B,22-1668-B,80-5122-B,235-3422-B,250-4137-B,294-5607-B
代理人 だいりにん	8-3690-B,11-3852-B,22-1696-B,80-5148-B,235-3447-B,250-4334-B,294-5637-B
代理店 だいりてん	8-2865-B,8-3724-B
代理業 だいりぎょう	8-2900-B
代理業者 だいりぎょうしゃ	8-3758-B
代理権 だいりけん	8-2938-B
代理牧師 だいりぼくし	325-3024-B
代理者 だいりしゃ	8-3804-B,11-3890-B,22-1733-B,80-5183-B,235-3481-B,250-4377-B,294-5676-B
代用 だいよう	294-6511-B
代用品 だいようひん	294-5715-B
代筆 だいひつ	12-299-B
代置 だいち	250-696-B
代行機関 だいこうきかん	8-2973-B
代行者 だいこうしゃ	8-3838-B,235-3515-B
代表 だいひょう	78-3643-B,107-5261-B,192-99-B,250-4171-B,250-4420-B,316-4222-B
代表作 だいひょうさく	184-2201-B
代表団 だいひょうだん	78-3679-B
代表格 だいひょうかく	250-4460-B
代表的 だいひょうてき	109-1301-B,192-130-B,250-4509-B
