angular	13-3296-B,13-3317-B,13-3365-B,13-3407-B,13-3446-B
anhydride	13-3488-B
anhydrous	13-3526-B
aniline	13-3555-B
anima	13-3576-B
animal	13-3592-B,13-3612-B,13-3641-B
animality	13-3673-B
animation	13-3714-B,13-3734-B,13-3766-B
animator	13-3795-B
animism	13-3823-B,13-3847-B
animosity	13-3895-B,13-3927-B,13-3971-B,13-4015-B
anion	13-4044-B
anisotropy	13-4081-B
ankle	13-4120-B,13-4148-B
anklet	13-4173-B
annals	13-4199-B,13-4228-B,13-4254-B,13-4289-B
annelid	13-4324-B
annex	13-4372-B,13-4400-B,13-4428-B,13-4456-B,13-4484-B,13-4512-B
annexation	13-4537-B,13-4564-B,13-4597-B,13-4630-B,13-4663-B,13-4696-B,13-4729-B,13-4762-B
annexe	13-4795-B
annihilation	13-4824-B,13-4859-B,13-4894-B,13-4929-B,13-4964-B,13-4996-B,13-5031-B,13-5066-B,13-5101-B,13-5142-B,13-5180-B
anniversary	13-5236-B,13-5270-B,13-5307-B,13-5341-B,13-5378-B
annotation	13-5418-B,13-5451-B,13-5478-B,13-5514-B,13-5547-B,13-5574-B,13-5610-B,13-5643-B,13-5682-B,13-5721-B,13-5760-B
announce	13-5793-B,13-5836-B,13-5873-B
announcement	13-5913-B,13-5951-B,13-5989-B,13-6021-B,13-6053-B,13-6088-B,13-6126-B,13-6158-B,13-6196-B,13-6234-B
announcer	14-0-B,14-17-B,14-46-B
annoy	14-90-B,14-124-B,14-176-B
annoyance	14-207-B,14-245-B,14-286-B,14-324-B
annoying	14-356-B,14-387-B,14-418-B,14-461-B,14-510-B,14-553-B,14-596-B
annual	14-648-B,14-677-B
annually	14-706-B,14-737-B,14-768-B,14-799-B,14-848-B,14-888-B,14-919-B,14-950-B,14-999-B,14-1036-B,14-1067-B,14-1098-B
annuity	14-1129-B
annular	14-1159-B
annulment	14-1192-B,14-1221-B
anode	14-1247-B,14-1266-B
anomaly	14-1297-B
anonymity	14-1330-B,14-1362-B,14-1403-B
anonymous	14-1432-B,14-1458-B,14-1487-B,14-1534-B,14-1584-B,14-1613-B
anorak	14-1666-B
anorexia	14-1689-B,14-1717-B,14-1763-B
another	14-1812-B,14-1851-B,14-1881-B,14-1911-B,14-1947-B,14-1968-B,14-1995-B,14-2022-B
