halt!	стой!
halter	недоуздок
halting	запинающийся
halve	делить пополам
halyard	фал
ham	ветчина
ham	окорок
hamburger	гамбургер
hamlet	деревушка
hamlet	хутор
hammer	молоток
hammer in	вколотить
hammer in	забить
hammer out	выковывать
hammering	стук
hammock	гамак
hamper	затормозить
hamper	затруднять
hamper	корзина
hamper	корзинка
hamper	мешать
hamper	препятствовать
hamper	тормозить
hamster	хомяк
hamstring	подколенное сухожилие
hand	вручать
hand	вручить
hand	ладонь
hand	передавать
hand	рабочий
hand	рука
hand	стрелка
hand in	вручать
hand in	вручить
hand in	подавать
hand out	выдавать
hand out	раздавать
hand over	сдавать
hand round	раздавать
handbag	сумка
handball	гандбол
handball	ручной мяч
handbill	рекламный листок
handbook	руководство
handbook	справочник
handcuffs	наручники
handgrip	рукоятка
handgun	пистолет
handicap	гандикап
handicap	помеха
handicap	преграда
handicap	препятствие
handicapped	задержанный
handicraft	ремесло
handiwork	рукоделие
handkerchief	носовой платок
handkerchief	платок
handle	вести
handle	обрабатывать
handle	орудовать
handle	рассматривать
handle	рукоятка
handle	ручка
handle	трактовать
handle	управлять
handlebar	руль велосипеда
handling	манипулирование
handling	обработка
handling	обращение
handling	обслуживание
handling	обхождение
handling	трактовка
handling	управление
handmade	ручной работы
handout	милостыня
handout	подаяние
handrail	перила
handrail	поручень
handshake	рукопожатие
handsome	значительный
handsome	красивый
handsome	хороший
handsome	щедрый
handsomeness	красота
handstand	стойка на руках
handwriting	почерк
handwritten	рукописный
handy	искусный
handy	ловкий
handy	полезный
handy	портативный
handyman	подручный
hang	вешать
hang	вздергивать
hang	висеть
hang	повесить
hang about	слоняться
hang about	шляться
hang around	слоняться
hang around	шляться
hang back	решаться: не решаться
hang behind	отставать
hang down	свисать
hang out	вывешивать
hang out	жить
hang out	квартировать
hang out	обитать
hang out	развешивать
hang-glider	дельтапланерист
hangar	ангар
hangar	навес
hangar	сарай
hanger	вешалка
hanger	подвеска
hanger-on	прихлебатель
hanging	вешание
hanging	висячий
hangman	виселица
hangman	мучитель
hangman	палач
hangover	пережиток
hangover	похмелье
hank	моток
hanker	страстно желать
hankering	стремление
hankie	носовой платок
hanky	носовой платок
hap	происходить
hap	случай
hap	случаться
haphazard	случайно
haphazard	случайный
haphazardly	случайно
hapless	горемычный
hapless	злополучный
hapless	несчастный
happen	бывать
happen	встретить
happen	выдаваться
happen	оказываться
happen	происходить
happen	случаться
happen	совершаться
happen	состояться
happening	происшествие
happening	случай
happening	событие
happily	счастливо
happily	счастье: к счастью
happily	удачно
happiness	счастье
happiness	удача
happy	благополучный
happy	веселый
happy	довольный
happy	навеселе
happy	радостный
happy	счастливый
happy	удачный
happy-go-lucky	беззаботный
happy-go-lucky	безмятежный
happy-go-lucky	беспечный
harangue	обращение
harangue	речь
harass	беспокоить
harass	заботить
harass	тревожить
harassment	беспокойство
harbinger	предвестник
harbor	гавань
harbor	затаить
harbor	питать
harbor	порт
harbor	приютить
harbor	убежище
harborage	приют
harbour	гавань
harbour	затаить
harbour	питать
harbour	порт
harbour	приютить
harbourage	приют
hard	грузный
hard	жесткий
hard	крепкий
hard	сильный
hard	сложный
hard	твердый
hard	трудный
hard	тягостный
hard	тяжело
hard	тяжелый
hard	тяжкий
hard-boiled	вкрутую
hard-boiled	жесткий
hard-boiled	крутой
hard-boiled	сваренный вкрутую
hard-boiled	черствый
hard-core	твердый
hard-headed	практичный
