split	щель
split off	отделять
split up	дробиться
split up	разделять
split up	раскалывать
split up	раскалываться
split up	распределять
splitting	головокружительный
splitting	острый
splitting	раскалывание
splitting	расщепление
splitting	сильный
splotchy	запачканный
splutter	говорить запинаясь
splutter	плеваться
splutter	шипение
splutter	шипеть
spoil	баловать
spoil	добыча
spoil	избаловать
spoil	испортить
spoil	испортиться
spoil	портить
spoil	портиться
spoil	трофей
spoiled	испорченный
spoilt	балованный
spoilt	избалованный
spoilt	испорченный
spoke	спица
spoke	ступенька
spokesman	делегат
spokesman	оратор
spokesman	представитель
spokesperson	докладчик
spokesperson	оратор
spokesperson	представитель
spoliation	грабеж
spoliation	мародерство
sponge	бисквит
sponge	губка
sponge	паразит
sponge	стирать губкой
sponger	паразит
sponger	тунеядец
sponginess	рыхлость
spongy	болотистый
spongy	губчатый
spongy	ноздреватый
spongy	пористый
spongy	топкий
sponsion	поручительство
sponsor	крестная мать
sponsor	крестный отец
sponsor	поддерживать
sponsor	покровитель
sponsor	спонсор
spontaneity	спонтанность
spontaneous	невольный
spontaneous	непринужденный
spontaneous	непроизвольный
spontaneous	самопроизвольный
spontaneous	спонтанный
spontaneous	стихийный
spoof	надувательство
spoof	обман
spoof	обманывать
spoof	пародия
spoof	розыгрыш
spoof	шутка
spook	привидение
spook	призрак
spooky	боязливый
spooky	жуткий
spooky	призрачный
spool	катушка
spool	наматывать
spool	цевка
spool	шпулька
spool	шпуля
spoon	ложка
spoon	черпать ложкой
spoon up	черпать ложкой
spoor	след
sporadic	единичный
sporadic	нерегулярный
sporadic	случайный
sporadic	спорадический
spore	спора
sport	забава
sport	развлечение
sport	спорт
sport	шутка
sporting	спортивный
sportive	веселый
sports	спорт
sportsman	охотник
sportsman	спортсмен
sportswoman	спортсменка
spot	высматривать
spot	должность
spot	место
spot	пачкать
spot	пятнать
spot	пятно
spot	точка
spot	увидеть
spot	узнавать
spotless	безукоризненный
spotless	безупречный
spotless	незапятнанный
spotlight	прожектор
spotlight	фара
spotted	запачканный
spotted	запятнанный
spotted	крапчатый
spotted	пятнистый
spotter	детектив
spotter	наблюдатель
spotter	сыщик
spotting	обнаружение
spotty	прыщеватый
spouse	муж
spouse	супруг
spouse	супруга
spout	водосточная труба
spout	извергать
spout	носик
spout	носик чайника
sprain	растяжение сухожилия
sprawl	разлечься
spray	ветвь
spray	ветка
spray	обрызгивать
spray	опрыскивать
spray	опылять
spray	пульверизатор
spray	разбрызгивать
spray	распылитель
spray	распылять
spread	намазывать
spread	покрывало
spread	простирать
spread	простираться
spread	протяжение
spread	протяженность
spread	разложить
spread	размазывать
spread	размах
spread	разносить
spread	разрыв
spread	расправлять
spread	распространение
spread	распространять
spread	распространяться
spread	расстилать
spread	расширять
spread	стелить
spread	угощение
spread out	разложить
spreading	распределение
spreading	распространение
spreadsheet	таблица
sprig	отпрыск
sprig	росток
sprightly	бодрый
sprightly	живой
sprightly	оживленно
sprightly	оживленный
spring	весна
spring	возникать
spring	исток
spring	источник
spring	ключ
spring	колодец
spring	появляться
spring	происходить
spring	пружина
spring	прыгать
spring	прыжок
spring	рессора
spring	родник
spring	скакать
spring	скачок
spring	трескаться
spring	трещина
spring	упругость
spring	эластичность
spring back	отпрянуть
spring up	возникать
spring up	появляться
springboard	трамплин
springiness	упругость
springiness	эластичность
springtide	весна
springtime	весна
springy	пружинящий
springy	упругий
springy	эластичный
sprinkle	брызгать
