make over	переделывать
make up	выдумывать
make up	гримировать
make up	загримировать
make up	компенсировать
make up	наверстывать
make up	разделывать
make up	составлять
make up	улаживать
make-believe	воображаемый
make-up	грим
make-up	косметика
make-up	состав
make-up	строение
make-up	структура
maker	производитель
maker	создатель
maker	творец
makeshift	временный
makeshift	импровизированный
makeup	верстка
makeup	грим
makeup	косметика
makeup	состав
makeup	строение
makeup	структура
makeweight	добавка
makeweight	довесок
making	изготовление
making	производство
making	создание
makings	заработок
maladjustment	диспропорция
maladjustment	несоответствие
maladroit	бестактный
maladroit	неловкий
maladroit	нетактичный
maladroitness	бестактность
malady	болезнь
malaise	дискомфорт
malaise	недомогание
malaria	малярия
malarkey	чепуха
malcontent	недовольный
male	мужской
malediction	проклятие
malefactor	злодей
malefactor	злоумышленник
malefactor	преступник
malevolence	злоба
malevolence	злорадство
malevolent	злобный
malevolent	злорадный
malevolent	недоброжелательный
malfeasance	преступление
malformation	уродство
malfunction	нарушение функции
malfunction	неисправность
malfunction	отказ
malfunction	отказывать
malfunction	сбой
malice	злоба
malice	злость
malicious	ехидный
malicious	злобный
malicious	злонамеренный
malicious	злостный
maliciousness	злонамеренность
malign	вредный
malign	дурной
malign	злобный
malign	злой
malign	злокачественный
malign	злословить
malign	клеветать
malign	пагубный
malignancy	злокачественность
malignant	злокачественный
malignant	злостный
malignity	злокачественность
malignity	злонамеренность
malinger	притворяться больным
malingerer	симулянт
malleability	уступчивость
malleable	ковкий
malleable	податливый
malleable	тягучий
malleable	уступчивый
mallet	деревянный молоток
mallet	колотушка
malleus	молоточек
malnutrition	истощение
malnutrition	недоедание
malodor	вонь
malodor	зловоние
malodorous	вонючий
malodorous	зловонный
malodorousness	зловоние
malt	солод
maltreat	жестоко обращаться
maltreat	помыкать
mammal	млекопитающее
mammon	богатство
mammoth	гигантский
mammoth	громадный
mammoth	мамонт
mammoth	огромный
man	босс
man	муж
man	мужчина
man	человек
man	шашка
man-eater	людоед
man-made	искусственный
man-of-war	военный корабль
man-servant	слуга
manacle	наручники
manacle	оковы
manacles	наручники
manage	ведать
manage	владеть
manage	заведовать
manage	одолеть
manage	править
manage	руководить
manage	справляться
manage	управлять
manageable	податливый
manageable	послушный
management	администрация
management	дирекция
management	заведование
management	менеджмент
management	правление
management	руководство
management	управление
manager	администратор
manager	директор
manager	заведующий
manager	менеджер
manager	начальник
manager	руководитель
manager	управляющий
manageress	заведующая
managing	ведущий
managing	руководящий
mandate	мандат
mandate	наказ
mandatory	обязательный
mandatory	уполномоченный
mandible	челюсть
mandolin	мандолина
mandrel	дорн
mandril	дорн
mane	грива
manege	манеж
maneuver	интрига
maneuver	лавировать
maneuver	маневр
maneuverability	маневренность
maneuverability	подвижность
manful	мужественный
manful	смелый
manganese	марганец
mange	чесотка
manger	кормушка
manger	ясли
mangle	изуродовать
mangle	искажать
mangle	калечить
mangle	уродовать
mangy	паршивый
mangy	поношенный
mangy	убогий
mangy	чесоточный
manhole	люк
manhood	возмужалость
manhood	мужественность
manhunt	преследование
mania	мания
maniac	помешанный
maniacal	помешанный
maniacally	неистово
manicure	маникюр
manicure	маникюр: делать маникюр
manicure	маникюрша
manicurist	маникюрша
manifest	доказывать
manifest	обнародовать
manifest	обнаруживать
manifest	очевидный
manifest	показывать
manifest	появляться
manifest	проявлять
manifest	явный
manifest	ясный
manifestation	манифестация
manifestation	проявление
manifesto	манифест
manifold	копия
