шизофрения	253-1810-B
шик	49-2729-B,283-4739-B,288-2992-B
шикарный	49-2741-B,51-5355-B,91-870-B,159-1640-B,215-266-B,217-1074-B,283-4798-B,288-3025-B,289-1852-B
шикать	35-202-B
шиллинг	261-4253-B
шило	24-2505-B,34-1801-B,36-3024-B,221-2672-B
шимпанзе	49-4436-B,49-4459-B
шина	41-409-B,274-4398-B,298-1319-B,306-2686-B
шиншилла	49-4554-B
шины	33-3871-S
шиньон	131-3538-B
шип	26-2115-B,42-3368-B,130-2286-B,211-3127-B,212-140-B,221-2636-B,221-2689-B,221-2796-B,274-617-B,274-1512-B,279-4899-B,293-3402-B,295-3423-B
шипение	275-468-B
шипеть	113-1597-B,137-3014-B,265-4926-B,274-2797-B,275-492-B,276-1024-B
шиповника	137-2682-S
шипучий	273-454-B
ширина	37-1362-B,38-4686-B,324-2548-B
ширина колеи	122-1966-B
ширма	254-2516-B,261-3230-B
широкий	31-1218-B,38-3945-B,43-4992-B,105-5385-B,164-1448-B,171-4635-B,315-5071-B,324-2123-B
широко	38-3966-B,38-4665-B,164-1469-B,324-2143-B,324-2217-B
широко распространенный	221-1141-B,324-2397-B
широта	37-1383-B,164-4240-B,324-2567-B
шить	259-4285-B,280-2766-B,290-3090-B
шитье	259-4408-B
шифер	253-1792-B,267-215-B
шифон	49-3459-B
шифр	50-4259-B,54-1476-B,71-2329-B
шифровальщик	54-1626-B
шифрование	54-1850-B
шифровать	50-4275-B,54-1490-B,54-1768-B,71-2345-B,97-2282-B,97-3175-B
шихта	27-2801-B
шишка	40-822-B,59-5050-B,103-3119-B,162-3117-B,173-1525-B
шишковатый	125-3259-B,125-3316-B,162-3160-B,304-4383-B
шкала	81-1182-B,121-2588-B,252-2531-B
шкатулка	36-2152-B,45-3093-B,45-3170-B
шкаф	35-631-S,35-664-B,41-4403-B,53-1459-S,70-661-B,170-4948-B,199-5222-S,250-576-S,320-3451-S,320-3486-B
шкафчик	170-4901-S
шквал	115-859-B,254-4834-B,276-1641-B
шквалистый	276-1709-B
шкворень	34-3438-B,162-230-B,212-151-B,212-3723-B
шкив	226-5454-B
школа	253-2622-B,253-3012-B
школы	221-4784-S
школьник	253-2713-B,253-2740-B
школьница	253-2878-B
школьный	253-2347-B,253-2640-B
школьный товарищ	51-5279-B,253-2807-B,253-3092-B
шкура	78-4651-B,110-522-B,120-1397-B,136-4686-B,207-178-B,261-1532-S,266-2191-B
шкурка	251-1034-B
шлагбаум	27-125-B,122-965-B,305-3549-B
шлак	52-4300-B,91-3558-B,253-4749-B,266-3982-B
шлам	186-1818-B,267-2867-B,268-2061-B
шланг	139-4234-B,139-4286-B
шлейф	290-2917-B
шлем	135-4070-B,135-4120-B
шлепать	266-4695-B,268-690-B,268-3563-B,274-3393-B
шлепать по воде	201-4540-B,268-711-B
шлепнуться	114-3658-B,274-3415-B
шлепок	205-1675-B,266-4715-B,268-3584-B,272-4487-B
шлифовать	71-350-B,215-4229-B,248-434-B,267-2264-B
шлюз	114-3324-B,170-4651-B,207-2401-B,268-2523-B
шлюзные ворота	114-3343-B,122-987-B,170-4812-B,268-2539-B
шлюп	260-1833-B,267-4655-B
шлюпка	34-1185-B,250-2066-S
шлюпке	297-655-S
шлюха	133-1580-B,225-1718-B,267-308-B,324-1583-B
шляпа	133-4418-B,168-1547-B
шляться	132-2571-B,132-2628-B
шмель	40-633-B,40-655-B
шмыгать	72-1997-B
шмыгать носом	269-4567-B
шнапс	253-1959-B
шнек	23-819-B,254-2898-B,326-4962-B
шницель	253-1979-B
шнур	64-5171-B,169-2034-B,306-185-B
шнуровать	163-599-B
шнурок	36-3476-B,64-5185-B,163-623-B,282-3843-B,306-200-B
шов	159-3080-B,255-1375-B,288-2197-B
шовинизм	48-5183-B,159-1667-B
шок	262-1967-B
шокировать	139-3540-B,252-2939-B,262-1980-B
шоколад	50-871-B
шомпол	231-4042-B,231-4323-B
шорты	262-4890-B
шоры	32-4919-B,33-194-B
шоссе	137-1275-B,246-347-B
шотландец	2-2192-B,2-2246-B,2-2275-B,253-5088-B,254-0-B
шотландка	213-283-B,254-28-B,291-4325-B
шотландский	2-2216-B,254-58-B
шотландского горца	161-3927-S
шоу	263-990-B
шофер	48-5162-B,91-2670-B
шпагат	201-4151-B,306-219-B
шпаклевка	228-3349-B
шпала	267-1233-B,297-2048-B
шпалеры	101-47-B
шпангоут	244-2882-B,297-3478-B
шпаргалка	68-2271-B,216-2304-B
шпарутка	293-1242-B
шпатель	273-1140-B
шпиговать	164-1131-B
шпиль	206-1725-B,260-959-B,274-1875-B,299-1324-B
шпилька	206-4937-B,212-172-B,283-1904-B
шпилька для волос	131-3561-B
шпинат	274-1225-B
шпиндель	18-534-B,274-1337-B
шпион	232-3500-B,276-1130-B
шпионаж	101-258-B
шпионить	276-1145-B
шплинт	66-149-B,274-4414-B
шпон	268-2153-B,316-2307-B
шпонка	90-245-B
шпора	276-951-B
шприц	142-752-B,290-56-B
шпулька	34-1426-B,230-561-B,236-2944-B,275-2184-B
шпуля	34-1448-B,230-582-B,275-2205-B
шрам	176-4508-B,252-3632-B,255-1387-B
шрапнель	263-1606-B
шрифт	115-3713-B,117-4141-B,221-5535-B,306-1933-B
штаб	134-2460-B,276-4637-B
штабель	211-3601-B
штамм	281-3781-B
штамп	52-3083-B,81-3263-B,145-5397-B,176-4522-B,221-5552-B,227-834-B,277-3086-B
штамповать	220-4393-B,227-851-B,248-645-B,277-3103-B
штанга	26-2661-B,68-5193-B,246-2065-B
штангенциркуль	42-3282-B,42-4268-B
штангист	322-4025-B
штандарт	277-4977-B
штаны	37-4566-B,139-4250-B,202-4724-B,304-861-B
штат	101-1472-B,276-4652-B,278-3118-B
штатив	138-1292-B,230-3592-B,277-4156-B,287-1792-B,303-3530-B
штатный	276-4667-B
штатский	51-1831-B,51-1978-B,51-2061-B
штемпелевать	217-3513-B
штемпель	81-3278-B,176-4538-B,217-3470-S,227-878-B,277-3130-B
штепсель	206-4956-B,214-3872-B
штиль	42-4860-B
штифт	212-191-B,283-1924-B
шток	246-2082-B,280-3275-B
штольня	7-3370-B,121-1447-B,305-1073-B
штопанье	72-1934-B
штопать	72-1888-B,179-4532-B
штопор	65-115-B
штопор самолета	274-1078-B
шторм	121-889-B,281-1589-B
штраф	13-2016-S,13-2055-B,112-1467-B,116-4188-B,186-3069-B,207-363-B,207-501-B
штрафовать	207-417-B
штрейкбрехер	32-1210-B,232-3515-B,252-1622-B,282-3360-B
штрек	121-1470-B,246-363-B
штрих	169-2048-B,282-4770-B,300-251-B
штриховать	260-145-B
штука	211-1480-B,295-2377-B
штукатур	213-2877-B
штукатурить	213-2794-B,239-3587-B
штукатурка	213-2825-B,283-1549-B
штурвал	323-2646-B
штурм	20-4010-B,196-2625-B,281-1606-B
штурман	279-1754-B
штурмовать	20-4029-B,281-1623-B
штык	27-4552-B
штырь	212-206-B
шулер	32-1244-B,246-4389-B,261-42-B,261-61-B,261-249-B
шум	25-4156-B,37-5041-B,51-3020-B,51-3109-B,82-3148-B,82-3409-B,120-3808-B,140-2839-B,140-3633-B,191-107-B,191-280-B,217-5145-B,230-3736-B,248-34-B,248-1134-B,248-1205-B,248-4524-B,261-4544-B,272-1458-B,298-2627-B,305-2005-B,313-4145-B,323-5035-B
шуметь	34-441-B,191-120-B
шумиха	120-3820-B
шумливый	172-1613-B,191-459-B
шумно приветствовать	5-1334-B
шумный	51-3063-B,172-1635-B,191-482-B,246-2633-B,248-145-B,305-483-B,313-4183-B,319-1026-B
шумовка	266-1871-B
шумоглушитель	186-2838-B,264-2624-B
шунт	41-3585-B,263-3260-B
шунтировать	38-840-B
шурин	39-649-B
шуршание	249-2886-B,289-1875-B
шуршать	249-2910-B,289-1898-B
шустрый	190-2853-B
шут	39-3364-B,53-2591-B,115-4269-B,133-1533-B,159-285-B,298-4463-B,328-3259-B
шутить	114-2552-B,158-2910-B,159-229-B,159-3263-B,303-1915-B
шутка	108-2552-B,120-51-B,121-179-B,158-2928-B,159-247-B,159-3281-B,164-2045-B,164-4653-B,214-650-B,218-3984-B,275-1980-B,275-2533-B,303-1149-B,325-4925-B
