dig up	вырыть
digestible	удобоваримый
digger	горнорабочий
digger	горняк
digger	копатель
digger	экскаватор
digging	копание
digging	рытье
digit	цифра
digital	цифровой
digitalis	дигиталис
dignified	величавый
dignified	достойный
dignitary	сановник
dignity	благородство
dignity	достоинство
dignity	звание
dignity	сан
digress	отклоняться
digression	отклонение
digression	отступление
dike	гать
dike	дамба
dike	запруда
dike	плотина
dike	преграда
diktat	диктат
dilapidate	разрушать
dilapidated	ветхий
dilapidated	обветшалый
dilapidated	полуразрушенный
dilapidation	ветхость
dilapidation	упадок
dilatable	растяжимый
dilatation	распространение
dilatation	растяжение
dilatation	расширение
dilate	расширять
dilating	расширение
dilation	распространение
dilation	расширение
dilatory	вялый
dilatory	запоздалый
dilatory	медленный
dilatory	медлительный
dilemma	дилемма
dilettante	дилетант
dilettante	любитель
diligence	дилижанс
diligence	прилежание
diligence	старание
diligence	тщательность
diligence	усердие
diligent	прилежный
diligent	старательный
diligent	усердный
dill	укроп
dilly-dally	колебаться
dilly-dally	мешкать
diluent	разбавитель
dilute	выхолащивать
dilute	разбавленный
dilute	разбавлять
dilute	разводить
dilute	разжижать
dilute	разрежать
dilution	ослабление
dilution	разбавление
dilution	разведение
dilution	разжижение
dim	бестолковый
dim	затемнять
dim	затуманивать
dim	матовый
dim	невнятный
dim	неясный
dim	слабый
dim	смутный
dim	туманный
dim	тупой
dim	тусклый
dim out	затемнять
dim-witted	недалекий
dim-witted	тупой
dimension	аспект
dimension	величина
dimension	измерение
dimension	объем
dimension	размер
dimension	размерность
dimensional	пространственный
dimensions	размер
diminish	сокращать
diminish	убавлять
diminish	уменьшать
diminish	уменьшаться
diminish	унижать
diminishment	умаление
diminishment	уменьшение
diminution	преуменьшение
diminution	снижение
diminution	сокращение
diminution	убавление
diminution	уменьшение
diminutive	крохотный
diminutive	маленький
diminutive	миниатюрный
diminutive	уменьшительный
dimness	неясность
dimness	тусклость
dimple	ямочка
dimwit	дурак
din	галдеж
din	грохот
din	грохотать
din	гудеть
din	гул
din	шум
dine	обедать
dine	питаться
dingily	грязно
dingo	динго
dingy	грязный
dingy	темный
dinky	изящный
dinner	банкет
dinner	обед
dinner-jacket	смокинг
dinosaur	динозавр
dins	галдеж
dins	шум
dint	вмятина
diocese	епархия
diode	диод
diopter	диоптр
dioptre	диоптрия
dioxide	двуокись
dip	наклонять
dip	окунать
dip	погружать
dip	спускаться
dip	углубление
diphtheria	дифтерит
diphtheria	дифтерия
diphthong	дифтонг
diploma	аттестат
diploma	грамота
diploma	диплом
diplomacy	дипломатия
diplomacy	такт
diplomat	дипломат
diplomatic	дипломатический
diplomatic	дипломатичный
diplomatist	дипломат
dipper	ковш
dipper	черпак
dippy	сумасшедший
dipsomania	запой
dipsomaniac	алкоголик
dire	крайний
dire	страшный
dire	ужасный
direct	адресовать
direct	вести
direct	направлять
direct	непосредственно
direct	непосредственный
direct	открытый
direct	править
direct	прямой
direct	руководить
direct	управлять
direct	устремлять
directing	руководство
direction	адрес
direction	директива
direction	инструкция
direction	направление
direction	постановка
direction	правление
direction	предписание
direction	распоряжение
direction	режиссура
direction	руководство
direction	указание
direction	управление
directional	направленный
directive	директива
directive	указание
directive	установка
directly	немедленно
directly	непосредственно
directly	прямо
directly	тотчас
directly	точно
directness	непосредственность
directness	прямота
director	директор
director	дирижер
director	начальник
