gun cotton	130-4632-B
gunboat	130-4664-B
gunfire	130-4691-B
gunman	130-4729-B,130-4749-B
gunner	130-4769-B,130-4799-B,130-4821-B
gunny	130-4843-B
gunpowder	130-4862-B
gurgle	130-4883-B,130-4907-B
guru	130-4944-B,130-4958-B
gush	131-0-B,131-20-B,131-42-B,131-58-B
gushy	131-74-B
gusset	131-101-B,131-117-B
gust	131-143-B,131-157-B,131-173-B,131-200-B
gustation	131-214-B
gusto	131-233-B,131-248-B
gusty	131-279-B,131-298-B
gut	131-325-B,131-354-B,131-369-B,131-394-B
guts	131-417-B,131-447-B
gutter	131-463-B,131-504-B,131-522-B,131-542-B,131-564-B
guttersnipe	131-578-B
guttural	131-624-B
guy	131-652-B,131-667-B,131-686-B
guzzle	131-703-B,131-719-B,131-743-B
guzzler	131-775-B,131-796-B,131-819-B
gym	131-852-B,131-877-B
gymnasium	131-917-B,131-944-B,131-990-B
gymnast	131-1017-B
gymnastic	131-1040-B
gymnastics	131-1079-B,131-1111-B
gynaecological	131-1143-B
gynaecologist	131-1191-B
gynaecology	131-1224-B
gynecological	131-1259-B
gynecologist	131-1306-B
gynecology	131-1338-B
gyp	131-1372-B,131-1397-B,131-1424-B,131-1455-B,131-1488-B
gypsum	131-1503-B
gypsy	1-3583-B,131-1519-B,131-1536-B
gyroscope	131-1557-B
habiliment	131-1584-B,131-1608-B
habit	131-1647-B,131-1668-B,131-1697-B,131-1716-B,131-1737-B,131-1760-B
habitable	131-1783-B
habitant	131-1804-B,131-1824-B
habitat	131-1846-B,131-1896-B
habitation	131-1917-B,131-1941-B,131-1963-B,131-2005-B
habits	131-2037-B,131-2059-B
habitual	131-2083-B
habitude	131-2111-B
habitue	131-2141-B
hacienda	131-2172-B
hack	131-2198-B,131-2222-B,131-2242-B,131-2262-B,131-2278-B,131-2294-B,131-2316-B,131-2334-B,131-2352-B,131-2370-B
hackle	131-2384-B
hackneyed	131-2404-B,131-2433-B,131-2466-B,131-2491-B
hacksaw	131-2524-B
haddock	131-2547-B
haemoglobin	131-2566-B
haemophilia	131-2599-B
haemorrhage	131-2630-B
hafnium	131-2667-B
haft	131-2688-B,131-2710-B,131-2726-B
hag	131-2746-B,131-2763-B,131-2778-B
haggard	131-2799-B,131-2830-B,131-2859-B,131-2888-B
haggish	131-2919-B
haggle	131-2950-B
hail	131-2980-B,131-2994-B,131-3010-B,131-3030-B,131-3046-B,131-3068-B
hailer	172-1653-S
hailstone	131-3102-B
hailstorm	131-3127-B
hair	131-3161-B,131-3177-B,131-3195-B,131-3209-B,131-3231-B,131-3249-B
hair raising	131-3267-B,131-3297-B
hairbrush	131-3325-B
haircut	131-3364-B
hairdo	131-3387-B
hairdrier	131-3411-B
hairdryer	131-3428-B
haired	72-1378-S,107-2144-S,107-2175-S,131-3445-B,171-2316-S,171-2355-S,262-3862-S,262-3904-S,325-2370-S
hairless	131-3471-B
hairnet	131-3501-B
hairpiece	131-3538-B
hairpin	131-3561-B
hairspray	131-3602-B
hairstyle	131-3637-B
hairy	131-3664-B,131-3689-B
haitian	1-3600-B,1-3625-B,131-3714-B
halberd	131-3743-B
halcyon	131-3768-B
hale	131-3787-B,131-3805-B,131-3827-B
half	131-3847-B,131-3873-B,131-3895-B,131-3917-B,131-3943-B,131-3973-B
half hearted	131-3993-B,131-4017-B,131-4057-B
half light	131-4093-B
half wit	131-4119-B,131-4143-B
half year	131-4173-B,131-4198-B
halfback	131-4227-B
halftone	131-4261-B
halfway	131-4285-B,131-4314-B
halibut	131-4339-B
hall	131-4360-B,131-4384-B,131-4396-B,131-4416-B,131-4438-B
hallelujah	131-4452-B
hallmark	131-4480-B
hallo	131-4531-B,131-4550-B,131-4579-B,131-4596-B
hallow	131-4617-B
hallowed	131-4641-B
hallowing	131-4671-B
hallucinate	131-4700-B
hallucination	131-4743-B
hallway	131-4782-B,131-4805-B
halo	131-4830-B,131-4844-B
halogen	131-4860-B,131-4883-B
halt	131-4904-B,131-4936-B,131-4972-B,131-4996-B,131-5014-B,132-0-B
halter	132-16-B
halting	132-42-B
halve	132-75-B
halyard	132-109-B
ham	132-124-B,132-143-B
hamburger	132-160-B
hamlet	132-189-B,132-215-B
hammer	132-233-B
hammer in	132-255-B,132-284-B
hammer out	132-307-B
hammering	132-339-B
hammock	132-358-B
hamper	132-377-B,132-407-B,132-435-B,132-457-B,132-481-B,132-501-B,132-537-B
hamster	132-563-B
hamstring	132-582-B
hand	132-634-B,132-654-B,132-674-B,132-692-B,132-718-B,132-738-B,132-752-B,233-5189-S,245-321-S
hand in	132-772-B,132-795-B,132-818-B
hand out	132-843-B,132-869-B
hand over	132-897-B
hand round	132-922-B
handbag	132-952-B
handball	132-971-B,132-995-B
handbill	132-1024-B
handbook	132-1065-B,132-1097-B
handcuffs	132-1127-B
handed	52-627-S,135-1980-S,135-2012-S,137-373-S,137-410-S,166-3611-S,196-1478-S,196-3986-S,196-4023-S
handgrip	132-1156-B
handgun	132-1182-B
handicap	132-1207-B,132-1233-B,132-1255-B,132-1281-B
handicapped	132-1313-B
handicraft	132-1348-B
handiwork	132-1374-B
handkerchief	132-1403-B,132-1444-B
handle	115-1452-S,132-1470-B,132-1488-B,132-1520-B,132-1546-B,132-1580-B,132-1604-B,132-1622-B,132-1650-B
handlebar	132-1676-B
handling	132-1716-B,132-1756-B,132-1784-B,132-1812-B,132-1846-B,132-1876-B,132-1904-B
handmade	132-1934-B
handout	132-1969-B,132-1996-B
handrail	132-2021-B,132-2043-B
handshake	132-2069-B
handsome	132-2102-B,132-2136-B,132-2162-B,132-2186-B
handsomeness	132-2208-B
handstand	132-2236-B
handwriting	132-2275-B
handwritten	132-2300-B
handy	132-2333-B,132-2356-B,132-2375-B,132-2398-B
handyman	132-2427-B
hang	132-2455-B,132-2473-B,132-2501-B,132-2519-B
hang about	132-2541-B,132-2571-B
hang around	132-2597-B,132-2628-B
hang back	132-2655-B
hang behind	132-2705-B
hang down	132-2736-B
hang glider	132-2899-B
hang out	132-2761-B,132-2791-B,132-2809-B,132-2843-B,132-2867-B
hangar	132-2942-B,132-2960-B,132-2978-B
hanger	132-2996-B,132-3018-B
hanger on	132-3042-B
hanging	132-3077-B,132-3100-B
hangman	132-3123-B,132-3148-B,132-3173-B
hangover	132-3192-B,132-3220-B
hank	132-3246-B
hanker	132-3262-B
hankering	132-3299-B
hankie	132-3330-B
hanky	132-3365-B
hanover	1-3654-B
hap	132-3399-B,132-3426-B,132-3443-B
haphazard	132-3466-B,132-3493-B
haphazardly	132-3522-B
hapless	132-3551-B,132-3580-B,132-3611-B
happen	132-3640-B,132-3660-B,132-3686-B,132-3714-B,132-3744-B,132-3774-B,132-3800-B,132-3830-B
happening	132-3858-B,132-3893-B,132-3916-B
happily	132-3941-B,132-3968-B,132-4010-B
happiness	132-4031-B,132-4056-B
happy	132-4077-B,132-4110-B,132-4131-B,132-4156-B,132-4179-B,132-4204-B,132-4231-B
happy go lucky	132-4252-B,132-4290-B,132-4328-B
harangue	132-4362-B,132-4390-B
harass	132-4408-B,132-4436-B,132-4460-B
harassment	132-4486-B
harbinger	132-4522-B
harbor	132-4555-B,132-4575-B,132-4597-B,132-4617-B,132-4633-B,132-4657-B
harborage	132-4679-B
harbour	132-4700-B,132-4721-B,132-4744-B,132-4765-B,132-4782-B
harbourage	132-4807-B
hard	132-4829-B,132-4849-B,132-4869-B,132-4889-B,132-4909-B,132-4929-B,132-4949-B,132-4969-B,132-4993-B,132-5011-B,132-5031-B
hard boiled	132-5049-B,132-5076-B,132-5103-B,132-5128-B,132-5174-B
hard core	132-5203-B
hard headed	132-5228-B,133-0-B
hard hearted	133-27-B,133-65-B
hard of hearing	133-107-B
hard working	133-140-B,133-172-B
harden	133-210-B,133-238-B,133-262-B,133-286-B,133-318-B,133-346-B,133-374-B,133-398-B
hardening	133-449-B,133-474-B
hardhead	133-505-B
hardihood	133-527-B,133-554-B,133-581-B
hardily	133-608-B
hardiness	133-627-B,133-662-B
hardly	133-689-B,133-710-B,133-726-B,133-747-B,133-761-B,133-781-B,133-801-B,133-834-B
hardness	133-850-B,133-878-B,133-904-B,133-932-B
hardship	133-960-B,133-984-B,133-1004-B
hardware	133-1032-B
hardwearing	133-1062-B,133-1087-B
hardwood	133-1114-B
hardworking	133-1173-B
hardy	133-1210-B,133-1237-B,133-1258-B,133-1289-B,133-1316-B,133-1355-B,133-1378-B,133-1397-B
hare	133-1418-B,133-1432-B
harem	133-1450-B
hark	133-1467-B
harlequin	133-1487-B,133-1512-B,133-1533-B
harlot	133-1550-B,133-1580-B
harlotry	133-1598-B
harm	133-1630-B,133-1644-B,133-1664-B,133-1676-B,133-1709-B,133-1742-B
harmful	133-1758-B,133-1781-B,133-1812-B
harmless	133-1837-B,133-1867-B,133-1897-B
harmonic	133-1923-B,133-1959-B,133-1991-B
harmonious	133-2017-B,133-2055-B,133-2089-B
harmonium	133-2119-B
harmonization	133-2152-B
harmonize	133-2191-B,133-2232-B,133-2269-B
harmony	133-2306-B,133-2331-B,133-2346-B,133-2371-B,133-2410-B,133-2435-B
harness	133-2464-B,133-2489-B,133-2512-B,133-2539-B,133-2562-B,133-2581-B
harp	133-2602-B,133-2616-B
harpist	133-2648-B
harpoon	133-2669-B,133-2690-B,133-2717-B
harpsichord	133-2740-B
harridan	133-2769-B,133-2791-B
harrow	133-2811-B,133-2831-B
harry	133-2855-B,133-2876-B,133-2901-B
harsh	133-2928-B,133-2947-B,133-2968-B,133-2991-B,133-3010-B,133-3031-B,133-3052-B,133-3073-B,133-3102-B
harshness	133-3125-B,133-3152-B,133-3181-B,133-3208-B,133-3245-B
harum scarum	133-3276-B,133-3314-B
harvest	133-3352-B,133-3371-B,133-3388-B,133-3424-B,133-3462-B,133-3483-B
harvester	133-3504-B
harvesting	133-3523-B
hash	133-3560-B,133-3576-B
hashish	133-3598-B
hasp	133-3617-B
hassle	133-3639-B,133-3663-B,133-3681-B,133-3707-B
haste	133-3727-B,133-3762-B,133-3791-B,133-3812-B,133-3831-B,133-3858-B
hasten	133-3889-B,133-3911-B,133-3935-B,133-3963-B
hastily	133-3987-B,133-4010-B,133-4031-B,133-4062-B
hastiness	133-4087-B,133-4124-B,133-4163-B
hasty	133-4196-B,133-4217-B,133-4246-B,133-4277-B,133-4308-B,133-4333-B,133-4352-B,133-4391-B
hat	133-4418-B,195-5003-S
hatch	133-4433-B,133-4454-B,133-4481-B,133-4506-B
hatch up	133-4519-B
hatcher	133-4547-B
hatchet	133-4570-B
hatchway	133-4589-B
hate	133-4605-B,133-4631-B
hated	133-4655-B
hateful	133-4684-B,133-4707-B,133-4738-B,133-4773-B
hatred	133-4810-B,133-4836-B
haughtiness	133-4864-B,133-4899-B,133-4936-B,133-4973-B
haughty	133-5008-B,133-5041-B,133-5068-B
haul	133-5093-B,133-5121-B,133-5145-B,133-5167-B,133-5185-B,133-5211-B,133-5237-B,133-5255-B,134-0-B,134-14-B,134-32-B
haul up	134-46-B
haulage	134-73-B,134-102-B
haulm	134-129-B
haunch	134-150-B,134-168-B
haunt	134-186-B,134-213-B
hautbois	134-244-B
hautboy	134-264-B
hauteur	134-283-B,134-314-B
have	134-345-B
haven	134-361-B,134-380-B,134-397-B
haversack	134-418-B,134-439-B
havoc	134-462-B
haw	134-491-B,140-3780-S
hawfinch	134-514-B
hawk	134-538-B,134-554-B,134-593-B
hawker	134-611-B
hawser	134-637-B,134-655-B
hawthorn	134-671-B
hay	134-699-B
haycock	134-712-B
hayfield	134-740-B
hayfork	134-756-B
haying	134-773-B
hayloft	134-795-B
haymaking	134-818-B
hayrick	134-843-B
haystack	134-869-B
hazard	134-896-B,134-922-B,134-954-B,134-986-B,134-1006-B,134-1022-B
hazardous	134-1048-B,134-1083-B,134-1108-B
haze	134-1141-B,134-1157-B,134-1171-B
hazel	134-1187-B
haziness	134-1208-B,134-1236-B
hazy	134-1266-B,134-1300-B,134-1320-B,134-1340-B
