hard-headed	трезвый
hard-hearted	бессердечный
hard-hearted	жестокосердный
hard-of-hearing	тугоухий
hard-working	прилежный
hard-working	трудолюбивый
harden	закаливать
harden	закалить
harden	закалять
harden	затвердевать
harden	затвердеть
harden	ожесточать
harden	твердеть
harden	твердый: делать твердым
hardening	закалка
hardening	уплотнение
hardhead	болван
hardihood	дерзость
hardihood	наглость
hardihood	смелость
hardily	смело
hardiness	выносливость
hardiness	крепость
hardly	вряд ли
hardly	едва
hardly	едва ли
hardly	еле
hardly	насилу
hardly	сурово
hardly	труд: с трудом
hardly	чуть
hardness	жесткость
hardness	крепость
hardness	суровость
hardness	твердость
hardship	лишения
hardship	нужда
hardship	трудность
hardware	аппаратура
hardwearing	ноский
hardwearing	прочный
hardwood	твердый: твердая древесина
hardworking	трудолюбивый
hardy	выносливый
hardy	дерзкий
hardy	дерзновенный
hardy	закаленный
hardy	морозоустойчивый
hardy	отважный
hardy	смелый
hardy	стойкий
hare	заяц
hare	кролик
harem	гарем
hark	слушать
harlequin	арлекин
harlequin	клоун
harlequin	шут
harlot	проститутка
harlot	шлюха
harlotry	проституция
harm	вред
harm	вредить
harm	зло
harm	наносить ущерб
harm	причинять вред
harm	ущерб
harmful	вредный
harmful	губительный
harmful	пагубный
harmless	безвредный
harmless	безобидный
harmless	невинный
harmonic	гармонический
harmonic	гармоничный
harmonic	стройный
harmonious	гармонический
harmonious	гармоничный
harmonious	созвучный
harmonium	фисгармония
harmonization	гармонизация
harmonize	гармонизировать
harmonize	гармонировать
harmonize	согласовывать
harmony	гармония
harmony	лад
harmony	согласие
harmony	согласованность
harmony	созвучие
harmony	стройность
harness	впрягать
harness	доспехи
harness	запрягать
harness	запрячь
harness	сбруя
harness	упряжь
harp	арфа
harp	играть на арфе
harpist	арфист
harpoon	гарпун
harpoon	гарпунить
harpoon	острога
harpsichord	клавесин
harridan	ведьма
harridan	карга
harrow	борона
harrow	боронить
harry	грабить
harry	надоедать
harry	опустошать
harsh	грубый
harsh	жесткий
harsh	жестокий
harsh	резкий
harsh	строгий
harsh	суровый
harsh	терпкий
harsh	шероховатый
harsh	шершавый
harshness	грубость
harshness	жесткость
harshness	резкость
harshness	шероховатость
harshness	шершавость
harum-scarum	безрассудный
harum-scarum	опрометчивый
harvest	жатва
harvest	жать
harvest	пожинать плоды
harvest	собирать урожай
harvest	страда
harvest	урожай
harvester	жнец
harvesting	уборка урожая
hash	гашиш
hash	путаница
hashish	гашиш
hasp	застежка
hassle	докучать
hassle	драка
hassle	надоедать
hassle	стычка
haste	опрометчивость
haste	поспешность
haste	спешить
haste	спешка
haste	торопиться
haste	торопливость
hasten	спешить
hasten	торопить
hasten	торопиться
hasten	ускорять
hastily	наскоро
hastily	наспех
hastily	опрометчиво
hastily	поспешно
hastiness	вспыльчивость
hastiness	необдуманность
hastiness	поспешность
hasty	быстрый
hasty	вспыльчивый
hasty	необдуманный
hasty	опрометчивый
hasty	поспешный
hasty	резкий
hasty	скоропалительный
hasty	торопливый
hat	шляпа
hatch	выводок
hatch	высиживать
hatch	замышлять
hatch	люк
hatch up	замышлять
hatcher	наседка
hatchet	топор
hatchway	люк
hate	ненавидеть
hate	ненависть
hated	ненавистный
hateful	злобный
hateful	ненавистный
hateful	омерзительный
hateful	отвратительный
hatred	ненависть
hatred	отвращение
haughtiness	высокомерие
haughtiness	горделивость
haughtiness	заносчивость
haughtiness	надменность
haughty	высокомерный
haughty	надменный
haughty	спесивый
haul	буксировать
haul	волочение
haul	волочить
haul	добыча
haul	дотягивать
haul	перевозить
haul	тащить
haul	трофей
