aerology	9-1126-B
aeronaut	9-1154-B
aeronautic	9-1180-B
aeronautics	9-1230-B,9-1265-B
aeroplane	9-1308-B,9-1335-B
aerosol	9-1360-B
aerostat	9-1387-B,9-1413-B
aerostatics	9-1448-B
aesthete	9-1483-B
aesthetic	9-1503-B
aesthetics	9-1538-B
afar	9-1566-B,9-1586-B
affability	9-1604-B,9-1636-B,9-1674-B
affable	9-1700-B,9-1725-B
affair	9-1756-B,9-1772-B,9-1800-B,9-1830-B
affect	9-1862-B,9-1882-B,9-1902-B,9-1938-B,9-1964-B,9-1986-B,9-2016-B,9-2040-B,9-2070-B,9-2096-B,9-2116-B,9-2151-B,9-2175-B,9-2207-B,9-2239-B
affectation	9-2261-B,9-2294-B,9-2325-B
affected	9-2358-B,9-2398-B,9-2424-B,9-2450-B,9-2486-B,9-2512-B,9-2540-B,9-2578-B,9-2604-B
affectedness	9-2634-B
affecting	9-2668-B,9-2697-B
affection	9-2732-B,9-2767-B
affectionate	9-2798-B,9-2826-B,9-2852-B
affectionately	9-2888-B
affectionateness	9-2918-B
affiance	9-2952-B,9-2980-B
affianced	9-3006-B,9-3037-B
affiliate	9-3072-B,9-3101-B,9-3136-B
affiliation	9-3159-B,9-3200-B
affinity	9-3239-B,9-3265-B,9-3289-B,9-3315-B
affirm	9-3341-B,9-3373-B
affirmation	9-3401-B,9-3432-B,9-3471-B
affirmative	9-3506-B,9-3539-B,9-3578-B
affix	9-3619-B,9-3638-B
afflatus	9-3667-B
afflict	9-3699-B,9-3724-B
afflicted	9-3749-B,9-3780-B
affliction	9-3813-B,9-3839-B,9-3859-B,9-3881-B,9-3911-B,9-3935-B
affluence	9-3959-B,9-3998-B,9-4027-B,9-4054-B
affluent	9-4077-B,9-4101-B
afford	9-4127-B
afforest	9-4161-B
afforestation	9-4202-B,9-4245-B
affranchise	9-4278-B
affray	9-4313-B,9-4331-B
affreight	9-4353-B
affright	9-4384-B
affront	9-4406-B,9-4425-B,9-4448-B,9-4479-B
afghan	1-66-B,1-88-B,9-4508-B,9-4530-B
aflutter	9-4556-B
afore	9-4592-B,9-4611-B,9-4637-B
aforesaid	9-4656-B,9-4693-B
aforethought	9-4732-B,9-4774-B,9-4816-B,9-4842-B
afresh	9-4876-B,9-4894-B
africa	1-114-B
african	1-134-B,9-4916-B
aft	9-4947-B
after	9-4979-B,9-4990-B,9-5001-B,9-5022-B,9-5039-B,171-3173-S,171-3205-S,171-3231-S,290-4147-S
afterdeck	9-5056-B
aftereffect	9-5071-B
aftermath	9-5106-B
afternoon	9-5139-B
afterward	9-5186-B
afterwards	9-5207-B,9-5243-B,9-5265-B,9-5291-B,9-5313-B
again	9-5335-B,9-5352-B,9-5369-B,9-5386-S,192-2769-S,192-2814-S
again and again	9-5386-B
against	9-5427-B,9-5450-B,9-5461-B,9-5474-B,9-5485-B,9-5498-B,9-5519-B,150-5474-S,259-281-S
agate	9-5530-B
age	9-5545-B,9-5556-B,9-5575-B,9-5592-B,10-0-B,10-19-B,10-42-B,10-63-B,308-1553-S
aged	10-78-B,10-98-B,10-118-B,10-144-B
ageing	10-162-B
ageless	10-186-B,10-207-B
agency	10-238-B,10-264-B,10-280-B,10-304-B,10-336-B,10-372-B,10-414-B,10-430-B,10-458-B
agenda	10-482-B,10-513-B,10-539-B
agent	10-565-B,10-582-B,10-607-B,10-640-B,10-659-B
agglomeration	10-682-B,10-721-B
agglutination	10-754-B
aggrandize	10-793-B
aggrandizement	10-827-B,10-863-B
aggravate	10-899-B,10-928-B,10-957-B,10-986-B,10-1013-B,10-1044-B,10-1075-B
aggravating	10-1102-B,10-1131-B,10-1166-B
