go to	бывать
go together	гармонировать
go together	сочетаться
go under	гибнуть
go under	погибать
go under	тонуть
go up	восходить
go up	повышаться
go up	подниматься
go up	расти
go with	подходить
go with	сопровождать
go-between	посредник
goad	подгонять
goad	подстрекать
goad	стимул
goading	стимул
goal	ворота
goal	гол
goal	финиш
goal	цель
goalie	вратарь
goalie	голкипер
goalkeeper	вратарь
goalkeeper	голкипер
goalpost	стойка ворот
goat	коза
goat	козел
goat	козел отпущения
goat	осел
goatee	козлиная бородка
goatee	эспаньолка
gob	комок
gob	моряк
gobbet	кусок
gobble	жадно глотать
gobble	пожирать
gobbler	индюк
gobelin	гобелен
goblet	бокал
goblet	кубок
goblin	домовой
god	бог
god	божество
god	идол
god	кумир
godchild	крестник
godchild	крестница
goddam	проклятый
goddam	чертовский
goddamn	проклятый
goddamn	чертовский
goddamned	проклятый
goddamned	чертовский
goddess	богиня
godfather	крестный
godfather	крестный отец
godforsaken	заброшенный
godhead	божество
godless	безбожный
godless	нечестивый
godlessness	безбожие
godlike	богоподобный
godlike	божественный
godly	благочестивый
godly	божественный
godmother	крестная
godmother	крестная мать
godparent	крестная
godparent	крестная мать
godparent	крестный
godparent	крестный отец
godson	крестник
goggle	выпучить глаза
goggle	таращить глаза
goggle	таращиться
going	действующий
going	отъезд
going	ходьба
goitre	зоб
gold	деньги
gold	золото
gold	золотой
gold-plate	позолотить
golden	золотой
goldfish	золотая рыбка
goldsmith	ювелир
golf	гольф
golfer	игрок в гольф
gondola	гондола
gondola	полувагон
gondolier	гондольер
gone	израсходованный
gone	истекший
gone	потерянный
gone	прошедший
gong	гонг
goniometer	гониометр
gonorrhea	гонорея
gonorrhoea	гонорея
goo	сентиментальщина
goober	арахис
good	благо
good	верный
good	годный
good	добро
good	доброкачественный
good	добрый
good	красивый
good	подходящий
good	полезный
good	польза
good	правильный
good	пригодный
good	приятный
good	умелый
good	хороший
good-for-nothing	бездельник
good-hearted	добросердечный
good-hearted	добрый
good-humored	добродушный
good-humoured	добродушный
good-looking	красивый
good-looking	привлекательный
good-looking	хороший
good-natured	добродушный
goodbye	прощание
goodly	значительный
goodly	красивый
goodly	прекрасный
goodness	добродетель
goodness	доброкачественность
goodness	доброта
goods	груз
goods	имущество
goods	товар
goods	товары
goodwill	благожелательность
goodwill	доброжелательность
goodwill	доброжелательство
goodwill	расположение
goody	конфета
goody	леденец
gooey	клейкий
gooey	липкий
goof	болван
goof	дурак
goofy	глупый
goon	болван
goon	громила
goose	глупец
goose	гусыня
goose	гусь
goose	дурак
goose	дурень
goose	простак
gooseberry	крыжовник
gopher	суслик
gore	забодать
gore	клин
gore	кровь
gore	ластовица
gore	пронзать
gorge	глотка
gorge	горло
gorge	затор
gorge	пасть
gorge	пробка
gorge	теснина
gorge	ущелье
gorgeous	великолепный
gorgeous	восхитительный
gorgeous	дивный
gorgeous	замечательный
gorgeous	прекрасный
gorgeous	пышный
gorgeous	роскошный
gorgeously	великолепно
gorilla	горилла
gormandize	пожирать
gormless	безмозглый
gormless	глупый
gory	кровопролитный
gory	окровавленный
gosling	гусенок
gospel	евангелие
gossip	беседовать
gossip	болтать
gossip	болтовня
gossip	болтун
gossip	болтунья
gossip	кумушка
gossip	молва
gossip	сплетни
gossip	сплетница
gossip	сплетничать
gossipry	болтовня
gossipy	болтливый
gossipy	словоохотливый
goth	гот
