leg	odvěsna
legacy	dědictví
legacy	odkaz
legal	advokátní
legal	legální
legal	právnický
legal	právní
legal	soudní
legal	zákonitý
legal	zákonný
legalisation	legalizace
legalise	legalizovat
legalism	právní dogmatismus
legality	legálnost
legalization	legalizace
legalization	legalizování
legalization	uzákonění
legalize	legalizovat
legalize	uzákonit
legally	legálně
legate	legát
legate	papežský vyslanec
legatee	dědic
legatee	obdařený odkazem
legation	poselstvo
legation	vyslanectví
legato	slur
legend	báje
legend	legenda
legendary	legendární
leggy	dlouhonohý
legibility	čitelnost
legible	čitelný
legibly	čitelně
legion	legie
legionary	legionář
legionary	legionářský
legionnaire	legionář
legislate	vydávat zákony
legislation	legislativa
legislation	zákonodárství
legislative	legislativní
legislative	zákonodárný
legislatively	legislativně
legislator	zákonodárce
legislature	legislatura
legislature	zákonodárný sbor
legitimacy	legitimita
legitimacy	legitimnost
legitimacy	platnost
legitimacy	správnost
legitimacy	zákonitost
legitimacy	zákonnost
legitimate	legitimní
legitimate	rozumný
legitimately	legitimně
legitimately	oprávněně
legitimately	zákonně
legitimation	legitimování
legitimation	prohlášení za legitimní
legitimize	legitimovat
legless	beznohý
legume	luštěnina
leguminous	luskovitý
leguminous	luskový
leguminous	luštěninový
lei	lei
lei	věnec
leisure	klidný
leisure	oddech
leisure	volno
leisure	volný čas
leisurely	klidně
leisurely	nenuceně
leisurely	volně
leitmotif	leitmotiv
leitmotiv	leitmotiv
lemma	lemma
lemon	citron
lemon	citronový
lemon	citroník
lemon	citrón
lemonade	limonáda
lemonade	limonádový
lemony	citrónový
lemur	lemur
lend	poskytnout
lend	propůjčit
lend	půjčit
lend	půjčovat
lend	zapůjčit
lender	půjčovatel
lender	věřitel
lending	půjčení
lending	půjčování
lending	zapůjčení
length	délka
length	trvání
lengthen	prodloužit
lengthen	prodlužovat
lengthily	rozvláčný
lengthily	rozvláčně
lengthways	podél
lengthways	podélně
lengthwise	po délce
lengthwise	podélně
lengthy	vleklý
lengthy	zdlouhavý
lenience	mírnost
lenience	shovívavost
leniency	mírnost
lenient	mírný
leniently	shovívavě
lens	objektiv
lens	čočka
lenten	postní
lentil	druh luštěniny
lentil	čočka
leonine	lví
leopard	leopard
leopard	levhart
leopardess	levhartice
leotard	cvičební trikot
leper	malomocný
leprechaun	irský skřítek
leprechaun	šotek
leprosy	lepra
leprosy	malomocenství
leprous	leprózní
leprous	malomocný
lepton	druh částice
lepton	lepton
lesbian	homosexuálka
lesbian	lesbický
lesbian	lesbička
lesbianism	lesbismus
lesion	léze
less	bez
less	menší
less	méně
lessee	nájemce
lessee	nájemník
lessen	snížit
lessen	zmenšit
lesser	menší
lesson	hodina
lesson	lekce
lesson	ponaučení
lesson	poučení
lesson	vyučovací hodina
lessor	pronajímatel
lest	pro případ že
let	dovolit
let	nechal
let	nechat
let	nechávat
letdown	zklamání
lethal	letální
lethal	smrtelný
lethal	smrtonosný
lethal	smrtící
lethargic	apatický
lethargic	letargický
lethargic	otupělý
lethargically	letargicky
lethargically	lhostejně
lethargy	apatie
lethargy	letargie
lethargy	lhostejnost
lethargy	netečnost
letter	dopis
letter	list
letter	listina
letter	litera
letter	literatura
letter	pronajímatel
letter	písemnictví
letter	písmeno
letter	symbol
letter-perfect	doslovný
letterhead	hlavička dopisu
letterhead	záhlaví
letterhead	záhlaví dopisu
letterpress	knihtisk
letting	pronájem
lettuce	hlávkový salát
lettuce	salát
leu	lei
leucine	leucin
leucocyte	leukocyt
leucocytosis	leukocytóza
leukaemia	leukemie
leukaemia	leukémie
leukemia	leukemie
leukocyte	bílá krvinka
leukocyte	leukocyt
levee	hráz
levee	násep
level	hladina
level	libela
