tun	sud
tuna	tuňák
tundra	tundra
tune	ladit
tune	ladění
tune	melodie
tune	naladit
tune	notovat
tune	nápěv
tune	píseň
tune	písnička
tune	soulad
tune-up	naladění
tune-up	zvýšení výkonu
tuneful	melodický
tunefully	melodicky
tuneless	nemelodický
tunelessly	nemelodicky
tuner	ladič
tuner	tuner
tungsten	wolfram
tunic	tunika
tuning	ladění
tuning	vyladění
tuning	zvýšení výkonu
tunnel	podzemní chodba
tunnel	tunel
tunnel	tunelovat
tunny	tuňák
tup	beran
tuppence	dvě pence
turban	turban
turbid	kalný
turbid	zakalený
turbidity	zakalení
turbidity	zmatenost
turbidity	zákal
turbine	turbína
turbofan	turboventilátor
turboprop	turbovrtulový motor
turbot	druh ryby
turbulence	turbulence
turbulent	turbulentní
turd	vulgárně fekálie
tureen	polévková mísa
turf	drn
turf	trávník
turf	závodiště
turgid	nabubřelý
turgid	opuchlý
turgid	oteklý
turgid	pompézní
turgidity	bombastičnost
turgidity	nafoukanost
turgidity	nafouklost
turgidity	napuchlost
turgidity	nateklost
turgidity	zduřelost
turgor	turgor
turkey	krocan
turkey	krůta
turmeric	druh koření
turmeric	kurkuma
turmoil	rozruch
turmoil	vřava
turmoil	zmatek
turn	namířit
turn	natočit
turn	obracet
turn	obrat
turn	obrátit
turn	obrátit se
turn	obrátka
turn	odbočit
turn	otočení
turn	otočit
turn	otočit se
turn	otáčet
turn	otáčka
turn	pootočit
turn	přelom
turn	točit
turn	točit se
turn	zahnout
turn	zatáčka
turnabout	obrat
turnaround	obrátka
turnaround	zvrat
turncoat	přeběhlík
turner	soustružník
turning	obracení
turning	odbočka
turning	otočení
turning	otočka
turning	otáčení
turning	točení
turnip	tuřín
turnkey	klíčník
turnkey	žalářník
turnoff	nechutnost
turnout	návštěvníci
turnout	účast
turnover	fluktuace
turnover	obrat
turnpike	silnice s mýtným
turnpike	závora
turnround	obrátka
turnround	zvrat
turnstile	turniket
turntable	otočný stůl
turntable	točna
turntable	část gramofonu
turpentine	terpentýn
turpitude	hanebnost
turpitude	podlost
turps	terpentýn
turquoise	tyrkys
turquoise	tyrkysový
turret	věžička
turtle	želva
turtledove	hrdlička
turtleneck	rolák
tusk	kel
tussle	poprat
tussle	rvačka
tussock	trs trávy
tutelage	silný vliv
tutelary	poručnický
tutor	instruktor
tutor	konzultant
tutor	tutor
tutor	vychovatel
tutor	školitel
tutorial	cvičení
tutorial	výuka
tux	smoking
tuxedo	smoking
twaddle	kec
twaddle	žvást
twang	brnk
twang	brnkat
twang	brnknutí
tweak	kroutit
tweak	zakroutit
tweak	zatahat
tweak	štípnout
twee	sentimentální
tweedy	tvídový
tweet	pípání
tweezer	pinzeta
twelfth	dvanáctina
twelfth	dvanáctý
twelve	dvanáct
twelve	dvanáctka
twelvemonth	rok
twenties	dvacátá léta
twentieth	dvacátý
twenty	dvacet
twenty	dvacítka
twenty-eighth	dvacátý osmý
twenty-fifth	dvacátý pátý
twenty-first	jednadvacátý
twenty-five	dvacet pět
twenty-four	dvacet čtyři
twenty-fourth	dvacátý čtvrtý
twenty-nine	dvacet devět
twenty-ninth	dvacátý devátý
twenty-one	dvacet jedna
twenty-second	dvacátý druhý
twenty-seven	dvacet sedm
twenty-six	dvacet šest
twenty-sixth	dvacátý šestý
twenty-third	dvacátý třetí
twenty-three	dvacet tři
twenty-two	dvacet dva
twerp	hlupák
twice	dvakrát
twiddle	kroutit
twiddle	obracet
twiddle	pohrávat
twig	ratolest
twig	větvička
twiggy	hubený
twiggy	štíhlý
twilight	soumrak
twilit	tlumeně osvícený
twilit	v pološeru
twill	kepr
twin	dvojitý
twin	dvojče
twin	zdvojený
twine	ovinout
twine	provázek
twinge	píchnutí
twinkle	blikání
twinkle	jiskřit
twinkle	mihotání
twinkle	třpytit
twinkle	zajiskření
twinkly	mihotavý
