diverticulum	divertikl
divertimento	divertimento
divest	zbavit
divestiture	zbavení majetku
divestiture	zbavení práva
divide	dělit
divide	dělit se
divide	oddělit
divide	předěl
divide	rozdělit
divide	rozdělit se
divide	rozdělovat
divide	rozkouskovat
divide	rozvodí
divide	vydělit
dividend	dividenda
divider	dělitel
divider	dělič
divider	rozdělovač
dividing	dělení
dividing	dělící
divination	věštění
divine	božský
divine	boží
divine	nádherný
divine	teolog
divine	uhádnout
divine	vytušit
divinely	božsky
diviner	prorok
diviner	vědec
diving	potápění
divinity	božstvo
divinity	božství
divisible	dělitelný
division	divize
division	dělba
division	dělení
division	odbor
division	oddíl
division	rozdělení
division	rozdělování
division	rozkol
division	rozpor
division	sekce
division	úsek
division	členění
divisional	divizní
divisive	rozvratný
divisor	dělitel
divorce	odloučenost
divorce	odloučení
divorce	rozvod
divorce	rozvodový
divorce	rozvést
divorce	rozvést se
divorcee	rozvedená osoba
divot	drn
divulge	prozradit
divulge	vyzradit
divvy	dividenda
dizzily	se závratí
dizziness	motání hlavy
dizziness	závrať
dizzy	mající závrať
dizzy	má závrať
dizzy	trpící závratí
dizzy	způsobující závrať
dizzy	závrativý
do	dělat
do	jednat
do	konat
do	prospívat
do	provozovat
do	provádět
do	provést
do	udělat
do	učinit
do	vykonat
do	zavinit
do	způsobit
do	činit
do-it-yourself	kutilský
do-it-yourself	kutilství
do-it-yourself	ručně vyrobený
do-or-die	urputný
do-or-die	zarputilý
doable	proveditelný
doable	uskutečnitelný
doc	doktor
docile	poddajný
docile	poslušný
docile	povolný
docility	poslušnost
dock	dok
dock	překladiště
dock	přístaviště
docker	dokař
docker	dělník v doku
docket	opatřit etiketou
docket	procesní listina
docket	soudní rejstřík
dockside	molo
dockside	přístav
dockside	přístaviště
dockyard	loděnice
dockyard	přístaviště
doctor	doktor
doctor	lékař
doctor	zvěrolékař
doctoral	doktorský
doctorate	doktorát
doctrinaire	doktrinářský
doctrinal	dogmatický
doctrinal	doktrinální
doctrine	doktrína
doctrine	nauka
document	doklad
document	dokument
document	dokumentovat
document	listina
documentary	dokumentární
documentation	dokumentace
dodder	chvět se
dodder	třást se
dodecahedron	dvanáctistěn
dodge	uhnout
dodge	uskakovat
dodge	uskočit
dodge	vyhnout
dodge	vyhnout se
dodge	vyhýbat se
dodge	vytáčka
dodge	úskok
dodger	neplatič
dodgy	prohnaný
dodgy	riskantní
dodo	blboun nejapný
dodo	dodo
dodo	hlupák
doe	laň
doe	srna
doer	muž činu
does	dělá
doeskin	srnčina
dog	hák
dog	kramle
dog	lump
dog	mizera
dog	ničema
dog	pes
dog	pronásledovat
dog	skoba
doge	dóže
dogfight	letecký souboj
dogfight	přestřelka
dogfight	šarvátka
dogfish	druh žraloka
doggedly	zarputile
doggedness	houževnatost
doggedness	zarputilost
doggerel	nepravidelný verš
doggie	pejsek
doggy	pejsek
doghouse	psí bouda
doglike	psí
dogma	dogma
dogma	článek víry
dogmatic	dogmatický
dogmatically	dogmaticky
dogmatism	dogmatismus
dogsbody	poskok
doh	solmizační slabika
doily	podložka
doily	ubrousek
doldrums	nečinnost
doldrums	stagnace
dole	milodar
dole	podpora v nezaměstnanosti
dole	příděl
doleful	zarmoucený
dolefully	zarmouceně
doll	loutka
doll	panenka
dollar	dolar
dollop	hromádka
dolly	panenka
dolmen	dolmen
dolomite	dolomit
dolor	bolest
dolorous	bolestivý
dolorous	bolestný
dolphin	delfín
dolt	hlupák
doltish	pitomý
domain	definiční obor
domain	doména
domain	doménový
domain	oblast
domain	obor
