lord	pán
lordly	panský
lordship	lordstvo
lore	tradice
lorgnette	lorňon
lorn	opuštěný
lorry	kamion
lorry	nákladní auto
lorry	nákladní automobil
lorry	náklaďák
lose	prohrát
lose	ztratit
lose	ztrácet
loser	poražený
loser	ztroskotanec
losing	prohrávající
losing	ztrátový
loss	porážka
loss	prohra
loss	snížení
loss	ztráta
losses	ztráty
losses	škody
lost	prohrál
lost	zapomenutý
lost	ztracen
lost	ztracený
lost	ztratil
lot	dávka
lot	hodně
lot	množství
lot	moc
lot	parcela
lot	položka
lot	pozemek
lot	spousta
lot	stavební parcela
lot	stavební pozemek
loth	neochotně
lotion	pleťová voda
lotion	roztok
lotion	vodička
lottery	loterie
lotto	loto
lotto	sportka
lotus	lotos
louche	pochybný
loud	hlasitý
loud	hlasitě
loud	hlučný
loud	křiklavý
loud-hailer	megafon
loudly	hlasitě
loudmouth	křikloun
loudness	hlasitost
loudness	hlučnost
loudspeaker	reproduktor
lough	jezero
lounge	flákání
lounge	hala
lounge	lenošení
lounge	lenošit
lounge	lenoška
lounge	obývací pokoj
lounge	pohovka
lounge	povalování
lounger	povaleč
loupe	lupa
louse	veš
lousy	bídný
lousy	mizerný
lousy	odporný
lousy	špatný
lout	hulvát
lout	nevychovanec
loutish	hulvátský
loutish	nevychovaný
louver	dveře se žaluzií
louver	okno se žaluzií
louver	žaluzie
lovable	líbezný
lovable	roztomilý
lovage	libeček lékařský
love	drahoušek
love	drahá
love	drahý
love	láska
love	milenka
love	milovat
love	milá
love	miláček
love	mít rád
love	srdečný pozdrav
loveless	bez lásky
loveless	nemilovaný
loveless	nemilující
loveliness	roztomilost
lovelorn	zhrzený
lovely	báječný
lovely	krásný
lovely	líbezný
lovely	milý
lovely	překrásný
lovely	půvabný
lovely	rozkošný
lovely	roztomilý
lover	milenec
lover	milenka
lover	milovník
lovesick	roztoužený
lovesick	roztoužený láskou
loving	laskavý
loving	milující
lovingly	láskyplně
low	dolní
low	malý
low	nízko
low	nízký
low	níže
low	spodní limit
low	tlaková níže
low-cost	levný
low-cost	úsporný
low-down	čistá pravda
low-grade	podřadný
low-key	tichý
low-key	tlumený
low-level	nízkoúrovňový
low-pressure	nízkotlaký
lowbrow	nekultivovaný
lowbrow	nevzdělaný
lower	dolejší
lower	dolní
lower	nižší
lower	níže
lower	snižovat
lower	snížit
lower	spodní
lower	spouštět
lower	spustit
lower-class	nižší společenská třída
lowering	snižování
lowering	snížení
lowermost	nejdolejší
lowermost	nejnižší
lowermost	nejspodnější
lowest	nejnižší
lowland	nížina
lowly	chudobně
lowly	nízce
lowly	nízký
lowly	prostě
lowly	skromně
lowness	nízkost
loyal	loajální
loyal	oddaný
loyal	věrný
loyalist	loajalista
loyally	oddaně
loyally	věrně
loyalty	loajalita
loyalty	oddanost
loyalty	věrnost
lozenge	bonbón proti kašli
lozenge	kosočtverec
lozenge	pastilka
lube	mazadlo
lubricant	mazadlo
lubricant	mazivo
lubricate	mazat
lubricate	namazat
lubricate	promazat
lubrication	mazání
lubricator	mazadlo
lubricious	kluzký
lucerne	vojtěška
lucid	jasný
lucid	průhledný
lucid	srozumitelný
lucid	zářivý
lucidity	jasnost
lucidity	přehlednost
lucidly	průzračně
luck	náhoda
luck	talisman
luck	štěstí
luckily	naštěstí
luckless	bez štěstí
luckless	smolařský
lucky	šťastný
lucrative	lukrativní
lucrative	výnosný
lucre	hovorově peníze
ludicrous	absurdní
ludicrous	směšný
ludicrously	absurdně
ludicrously	směšně
ludo	člověče nezlob se
luff	návětrný
luff	řídit loď po větru
