eyelet	poutko
eyelid	oční víčko
eyelid	víčko
eyeliner	maskara
eyeliner	tužka na malování očí
eyepatch	páska na oko
eyepiece	okulár
eyeshadow	maskara
eyeshadow	oční stín
eyesight	zrak
eyesore	ohyzdnost
eyestrain	namáhání očí
eyestrain	únava očí
eyewash	balamucení
eyewash	humbuk
eyewash	nesmysly
eyewash	oční kapky
eyewash	podvod
eyewitness	očitý svědek
eyrie	orlí hnízdo
f	f
f	nedostatečná
fa	fa
fab	báječný
fab	ohromný
fab	úžasný
fable	bajka
fable	báje
fable	bájit
fable	mýtus
fable	pověst
fable	výmysl
fabric	látka
fabric	složení
fabric	stavba
fabric	struktura
fabric	tkanina
fabric	uspořádání
fabricate	padělat
fabricate	vyrobit
fabricate	vyrábět
fabricate	vytvořit
fabricate	zhotovit
fabricate	zkonstruovat
fabrication	padělek
fabrication	výmysl
fabrication	výroba
fabrication	zhotovení
fabricator	lhář
fabricator	padělatel
fabulist	bajkář
fabulous	báječný
fabulous	bájný
fabulous	mýtický
fabulous	nádherný
fabulous	překvapující
fabulous	senzační
fabulous	skvostný
fabulous	skvělý
fabulously	báječně
facade	fasáda
face	ciferník
face	drzost
face	grimasa
face	líc
face	nestydatost
face	obkládat
face	obličej
face	obložit
face	povrch
face	průčelí
face	přední strana
face	přední část
face	tvář
face	vizáž
face	vzezření
face	vzhled
face	zevnějšek
face	čelit
face-lift	kosmetická operace
face-lift	plastická operace
faceless	anonymní
faceplate	ochranná deska
facer	nenadálá nesnáz
facet	faseta
facet	fasetovat
facetious	nejapný
facia	firemní štít
facial	faciální
facial	lícní
facial	obličejový
facile	lehký
facile	snadný
facilitate	napomáhat
facilitate	ulehčit
facilitate	usnadnit
facilitate	usnadňovat
facilitation	ulehčení
facilitation	usnadnění
facilitator	pomocník
facilitator	sparing-partner
facility	možnost
facility	podnik
facility	zařízení
facility	zručnost
facing	bednění
facing	lemování
facing	obklad
facing	obkládací
facing	obkládání
facing	obložení
facing	obruba
facing	výložka
facing	výložkový
facing	čelní plocha
facing	čelní stěna
facing	čelí
facsimile	faksimile
facsimile	fax
fact	fakt
fact	pravda
fact	skutečnost
faction	fikce
faction	frakce
faction	frakční
faction	klika
factious	frakcionářský
factious	frakční
factious	odbojný
factious	stranický
factitious	napodobený
factitious	nepřirozený
factitious	strojený
factitious	umělý
factor	agent
factor	dělitel
factor	faktor
factor	faktorovat
factor	jednatel
factor	moment
factor	okolnost
factor	činitel
factorial	faktoriál
factorisation	faktorizace
factorize	faktorizovat
factory	fabrika
factory	podnikový
factory	továrna
factory	tovární
factotum	poskok
factual	faktický
factual	konkrétní
factual	skutečný
factual	věcný
factuality	faktičnost
factuality	konkrétnost
factuality	reálnost
factually	fakticky
faculty	fakulta
faculty	schopnost
fad	výstřelek
faddish	módní
fade	blednout
fade	chřadnout
fade	doznívat
fade	mizet
fade	odkvést
fade	uvadat
fade	uvadnout
fade	vadnout
fade	vyblednout
fade	vymizet
fade	zaniknout
fade	zmizet
fade	ztratit se
fade	ztrácet barvu
fade	ztrácet se
fade	zvadnout
fade	zvolna mizet
fading	blednoucí
fading	blednutí
fading	zeslabování
faecal	fekální
faeces	kal
faeces	sedlina
faeces	výkaly
faeces	výměšky
faerie	kouzelný
faerie	pohádková říše
faerie	víla
faery	pohádková země
faery	říše víl
fag	cigareta
faggot	hanlivě homosexuál
faggot	teplouš
faience	fajáns
fail	nemít úspěch
fail	nepodařit se
fail	nepovést se
fail	neuspět
