oakum	koudel
oar	veslo
oarsman	veslař
oasis	oáza
oast	sušárna
oast	sušárna např. na chmel
oat	oves
oath	klení
oath	kletba
oath	nadávka
oath	přísaha
oath	zaklení
oatmeal	ovesná kaše
oatmeal	ovesná mouka
oatmeal	ovesné vločky
obbligato	obligátní
obduracy	tvrdohlavost
obduracy	umíněnost
obdurate	neoblomný
obdurate	nepoddajný
obdurate	tvrdý
obdurate	zavilý
obedience	podřízenost
obedience	poslušnost
obedience	věřící
obedient	poslušný
obediently	poslušně
obeisance	hold
obeisance	pocta
obeisance	podrobení se
obeisance	poklona
obeisance	pukrle
obeisance	úcta
obeisance	úklona
obelisk	obelisk
obese	obtloustlý
obese	obézní
obese	otylý
obese	tělnatý
obesity	obezita
obesity	otylost
obesity	tloušťka
obey	podrobit se
obey	podrobovat se
obey	podřídit se
obey	poslechnout
obey	poslouchat
obey	uposlechnout
obey	řídit se čím
obfuscate	otupit
obfuscate	poplést
obfuscate	zatemnit
obfuscate	zmást
obfuscation	zatemnění
obfuscation	zatemňování
obfuscation	zmatení pojmů
obituary	labutí píseň
obituary	nekrolog
obituary	parte
obituary	posmrtný
obituary	smuteční
obituary	úmrtní oznámení
object	cíl
object	namítat
object	objekt
object	protestovat
object	předmět
object	věc
object	záměr
object	účel
objectification	objektivizace
objectify	objektivizovat
objectify	zhmotnit
objection	chyba
objection	nesouhlas
objection	námitka
objection	odpor
objection	protest
objection	protestování
objection	reklamace
objection	vada
objectionable	budící námitky
objectionable	nechutný
objectionable	nepříjemný
objectionable	nevyhovující
objectionable	nežádoucí
objectionable	problematický
objectionable	sporný
objectionable	vadný
objective	cíl
objective	cílový
objective	názorný
objective	objektiv
objective	objektivní
objective	plán
objective	předmětný
objective	předmětový
objective	předmětový pád
objective	reálný
objective	vnější
objective	úkol
objective	účel
objectively	objektivně
objectivity	nestrannost
objectivity	objektivnost
objectivity	reálnost
objector	oponent
objector	protivník
oblate	zploštěný
oblation	oblace
oblation	obětina
oblation	oběť
obligate	povinný
obligate	uložit za povinnost
obligate	zavázat
obligation	břímě
obligation	dluhopis
obligation	laskavost
obligation	nutkavost
obligation	obligace
obligation	povinnost
obligation	revers
obligation	závazek
obligation	úpis
obligato	obligátní
obligatory	povinný
obligatory	závazný
oblige	být zavázán
oblige	donucovat
oblige	donutit
oblige	nutit
oblige	prokázat laskavost
oblige	přinutit
oblige	přispět k zábavě
oblige	vyhovět
oblige	vázat
oblige	zavázat se
obligingly	laskavě
obligingly	ochotně
oblique	kosý
oblique	křivý
oblique	nakloněný
oblique	nepřímý
oblique	postranní
oblique	scestný
oblique	zvrhlý
oblique	záludný
oblique	šikmý
obliquely	nepřímo
obliquely	šikmo
obliqueness	šikmost
obliquity	nejasnost
obliquity	nepřímost
obliquity	zvrácenost
obliterate	smazat
obliterate	vyhladit
obliterate	vymazat
obliterate	zaškrtat
obliterate	znečitelnit
obliteration	vyhlazení
obliteration	vymazání
oblivion	zapomenutí
oblivion	zapomnění
oblivious	nedávající pozor
oblivious	nehledící
oblivious	zapomínající
oblong	obdélník
oblong	obdélníkový
obloquy	hanoba
obloquy	pomluva
obnoxious	neoblíbený
obnoxious	nepříjemný
obnoxious	odporný
obnoxious	protivný
obnoxiously	nepřístojně
obnoxiousness	nepřístojnost
oboe	hoboj
oboist	hobojista
obscene	neslušný
obscene	obscénní
obscene	oplzlý
obscenely	obscénně
obscenely	oplzle
obscenely	sprostě
obscenity	necudnost
obscenity	nemravnost
obscenity	obscénnost
obscenity	oplzlost
obscurantism	tmářství
obscurantist	tmář
obscurantist	tmářský
obscure	nejasný
obscure	nesrozumitelný
obscure	nevysvětlitelný
obscure	neznámý
obscure	nezřetelný
obscure	skrytý
obscure	skrýt
obscure	temný
obscure	tmavý
