black-and-white	černé na bílém
black-market	šmelařit
blackamoor	mouřenín
blackamoor	negr
blackamoor	černoch
blackberry	ostružina
blackberry	ostružiny
blackbird	kos
blackboard	tabule
blackboard	školní tabule
blackcap	pěnice černohlavá
blackcock	tetřívek
blacken	načernit
blacken	začernit
blacken	zčernat
blacken	černat
blacken	černit
blackfly	druh hmyzu
blackguard	lump
blackhead	uher
blackish	načernalý
blackjack	oko
blackjack	pirátská vlajka
blacklead	tuha
blackleg	kazit stávku
blackleg	stávkokaz
blacklist	černá listina
blackmail	vydírat
blackmail	vydírání
blackmail	vyděračství
blackmailer	vyděrač
blackness	temnota
blackness	černost
blackout	zatemnění
blackout	zatemňující
blackout	ztráta vědomí
blacksmith	kovář
blackthorn	trnka
blacktop	asfalt
blacktop	makadam
blackwash	černidlo
bladder	balon
bladder	močový měchýř
bladder	měchýř
blade	ostří
blade	radlice
blade	stéblo
blade	čepel
blah	bla
blah	nesmysl
blah	žvást
blame	dávat vinu
blame	hana
blame	hanět
blame	kárat
blame	obvinit
blame	obviňovat
blame	obviňování
blame	svalovat vinu
blame	svádět
blame	vina
blame	vinit
blame	vyčítat
blameless	nevinný
blamelessly	bezúhonně
blameworthy	provinilý
blameworthy	vinný
blanch	zblednout
blancmange	pudink
bland	chabý
bland	neslazený
bland	neurčité chuti
blandly	mdle
blandly	mírně
blandly	nezajímavě
blandness	mdlost
blandness	nezajímavost
blank	bezvýrazný
blank	bianko
blank	nepopsaný
blank	nevyplněný
blank	polotovar
blank	prázdné místo
blank	prázdný
blank	předlisek
blank	předlitek
blank	tiskopis
blank	vynechaný
blank	čirý
blank	čistý
blanket	deka
blanket	pokrývka
blanket	potah
blanket	přikrýt
blanket	přikrývka
blankly	bezvýrazně
blankness	prázdnota
blare	hluk
blare	vřískat
blare	řvát
blarney	lichocení
blase	znuděný
blaspheme	klít
blaspheme	proklínat
blaspheme	rouhat se
blasphemer	klení
blasphemer	rouhání
blasphemous	bezbožný
blasphemous	rouhavý
blasphemously	rouhavě
blasphemy	blasfemie
blasphemy	rouhání
blast	odstřel
blast	odstřelit
blast	poryv
blast	výbuch
blast	výpad
blast	výstřel
blast	zadutí
blast	zatroubení
blast	závan
blaster	střelmistr
blastula	blastula
blatancy	patrnost
blatancy	zřejmost
blatant	křiklavý
blatantly	křiklavě
blatantly	očividně
blaze	oheň
blaze	plamen
blaze	planout
blaze	plápol
blaze	požár
blaze	záře
blaze	žár
blazer	blejzr
blazer	sako
blazing	planoucí
blazing	sálající
blazon	erb
blazon	erbovní štít
blazon	rozhlásit
blazon	vyhlásit
blazon	zveřejnit
bleach	bílit
bleach	bělit
bleach	bělící
bleach	odbarvovat
bleak	bezútěšný
bleak	neradostný
bleakly	chladně
bleakly	nevesele
bleakness	nehostinnost
bleakness	pochmurnost
bleakness	ponurost
bleary	kalný
bleary	zakalený
bleat	bečet
bleat	mekot
bleat	mečet
bleb	bublinka
bleb	puchýřek
bleed	krvácet
bleed	mokvat
bleed	prosakovat
bleeder	hemofilik
bleeder	krvácející osoba
bleeder	příživník
bleeding	krvácející
bleeding	krvácení
bleep	pípat
bleep	pípnutí
blemish	pokazit
blemish	poskvrna
blemish	poskvrnit
blemish	poškodit
blemish	vada
blench	ucuknout
blend	míchat
blend	mísit
blend	smíchat
blend	smísit
blend	směs
blend	vmíchat
blende	blejno
blende	sfalerit
blender	mixér
blenny	slizoun
bless	blahořečit
bless	požehnat
bless	žehnat
blessedness	blaženost
blessing	požehnání
blessing	souhlas
blest	blahoslavený
blest	požehnal
blether	blábolení
blether	žvanit
blether	žvanění
blight	pohroma
