rally	sraz
ram	beran
ram	beranit
ram	narazit
ram	vrazit
ram	zarazit
ramble	blouznit
rambler	tramp
ramify	rozvětvit
ramify	rozvětvovat
ramify	rozvětvovat se
ramify	větvit
rammer	dusadlo
ramp	rampa
ramp	zuřit
ramp	šikmá plocha
rampage	běsnit
rampage	běsnění
rampage	zuřit
rampant	nespoutaný
rampant	nezkrotný
rampantly	divoce
rampantly	nezkrotně
rampart	hradba
rampart	násep
rampart	val
ramrod	nabiják
ramrod	napřímený
ramrod	šéf
ramshackle	chatrný
ramshackle	zchátralý
ranch	ranč
rancid	nechutný
rancid	zkažený
rancid	žluklý
rancorous	zahořklý
rancour	nevraživost
rancour	zahořklost
rancour	zášť
random	nahodilý
random	náhodný
randomisation	náhodné rozdělování
randomise	generovat náhodná čísla
randomise	náhodně rozmístit
randomize	náhodně rozdělit
randomize	tvořit náhodná čísla
randomly	náhodně
randomness	náhodnost
randy	chlípný
randy	smyslný
randy	vilný
range	akční rádius
range	dojezd
range	dolet
range	dosah
range	dostřel
range	horský hřeben
range	hřeben
range	mít dostřel
range	pastvina
range	pohoří
range	rozmezí
range	rozpětí
range	rozsah
range	sortiment
range	sporák
range	střelnice
range	vzdálenost
rangeland	pastviny
ranging	dosahující
ranging	vytyčování
rangy	vytáhlý
rank	hodnost
rank	kategorie
rank	postavení
rank	pořadí
rank	seřadit
rank	sešikovat
rank	uspořádat
rank	řada
rank	šik
ranker	řadový vojín
ranking	hodnocení
rankle	trápit
ransack	prohrabat
ransack	vyplenit
ransom	vykoupit
ransom	výkupné
rant	chvástavost
rant	křičet
ranter	kazatel
rap	klepnout
rap	rap
rap	úder
rapacious	chamtivý
rapacious	chtivý
rapacious	dravý
rapacious	hrabivý
rapacious	lakotný
rapacious	žravý
rapacity	nenasytnost
rape	unést
rape	znásilnit
rape	znásilnění
rape	únos
rape	řepka
rapid	prudký
rapid	rychlý
rapidity	rapidnost
rapidity	rychlost
rapidly	rapidně
rapidly	rychle
rapier	kord
rapier	rapír
rapine	drancování
rapine	plenění
rapist	násilník
rapport	vztah
rapprochement	sblížení
rapt	zahloubaný
raptor	dravec
rapture	vytržení
rapturous	nadšený
rapturously	nadšeně
rare	mimořádný
rare	nedovařený
rare	neobyčejný
rare	ojedinělý
rare	unikátní
rare	ušlechtilý
rare	vyjímečný
rare	vzácný
rare	výjimečný
rare	znamenitý
rare	řídký
rarebit	roztavený sýr na krajíci
rarefaction	rozředění
rarefaction	zředění
rarefaction	ředění
rarely	mimořádně
rarely	málokdy
rarely	vzácně
rarely	zřídka
rareness	neobvyklost
rareness	vzácnost
rareness	řídkost
rarity	rarita
rarity	vzácnost
rarity	zvláštnost
rarity	řídkost
rascal	dareba
rascal	darebák
rascal	lotr
rascal	lump
rascal	neřád
rascal	ničema
rascal	rošťák
rascal	uličník
rascally	rošťácky
rash	liják
rash	neuvážený
rash	náhlý
rash	prudce
rash	prudký
rash	příval
rash	ukvapený
rash	unáhlený
rash	vyrážka
rash	zbrkle
rash	zbrklý
rasher	plátek např. slaniny
rashly	neuváženě
rashly	prudce
rashness	nerozvážnost
rashness	prudkost
rashness	ukvapenost
rasp	rašple
rasp	rašplovat
raspberry	malina
raspberry	malinový
raspy	chraplavý
raster	rastr
rat	dezertér
rat	krysa
rat	potkan
rat	stávkokaz
rat-catcher	krysař
ratable	zdanitelný
ratchet	ráčna
ratchet	řehtačka
rate	cenit
rate	hodnotit
rate	klasifikovat
rate	ocenit
rate	odhadnout
rate	ohodnotit
rate	podíl
rate	poměr
rate	rychlost
rate	sazba
