gaze	zírat
gazebo	altánek
gazelle	gazela
gazette	noviny
gazette	věstník
gazetteer	věstník
gazetteer	zeměpisný slovník
gean	třešeň ptačí
gear	mechanizmus
gear	ozubené kolo
gear	rychlostní stupeň
gear	výstroj
gear	výzbroj
gearbox	převodovka
gearing	ozubení
gearing	převod
gearing	převodování
gearstick	řadicí páka
gecko	geko
gecko	gekon
gee	jé
geek	pouťový kejklíř
geezer	podivín
geisha	gejša
gel	gel
gel	rosol
gelatin	želatina
gelatine	želatina
gelatinous	rosolovitý
gelatinous	želatinovitý
gelatinous	želatinový
geld	vykleštit
gelid	ledový
gelid	mrazivý
gelignite	gelignit
gelt	prachy
gem	drahokam
gem	klenot
gem	skvost
gemstone	drahokam
gemstone	polodrahokam
gendarme	francouzský policista
gendarmerie	četnická stanice
gendarmerie	četnictvo
gendarmerie	četníci
gender	rod
gene	gen
genealogical	genealogický
genealogist	genealog
genealogy	genealogie
genealogy	rodokmen
genealogy	rodopis
general	celkový
general	generál
general	generální
general	globální
general	hlavní
general	obecný
general	obecně
general	rámcový
general	souhrnný
general	univerzální
general	valný
general	velitel
general	veřejnost
general	vojevůdce
general	všeobecný
general-purpose	univerzální
generalisation	generalizace
generalisation	zobecnění
generalise	generalizovat
generalise	zobecnit
generalissimo	generalisimus
generalissimo	generalissimus
generalist	renesanční člověk
generality	generalita
generality	neurčitost
generality	obecnost
generality	všeobecnost
generalization	generalizace
generalization	generalizování
generalize	generalizovat
generalize	zobecňovat
generally	celkově
generally	obecně
generally	obvykle
generally	obyčejně
generally	všeobecně
generally	zpravidla
generalship	úřad generála
generate	generovat
generate	vyrábět
generate	vytvoř
generate	vytvořit
generate	vytvářet
generation	generace
generation	generační
generation	generování
generation	pokolení
generation	vytváření
generation	výroba
generational	generační
generative	generativní
generator	dynamo
generator	generátor
generator	generátorový
generic	generický
generic	genetický
generic	nechráněný
generic	obecný
generic	obecně použitelný
generic	rodový
generic	všeobecný
generic	všeobecně použitelný
generically	všeobecně
generosity	ušlechtilost
generosity	velkorysost
generosity	šlechetnost
generosity	štědrost
generous	bujný
generous	hojný
generous	velkodušný
generous	velkomyslný
generous	velkorysý
generous	šlechetný
generous	štědrý
generously	velkoryse
generously	šlechetně
genesis	geneze
genesis	původ
genesis	vznik
genesis	zrod
genetic	genetický
genetical	genetický
genetically	geneticky
geneticist	genetik
genial	geniální
genial	srdečný
genial	týkající se brady
genial	vlídný
genial	žoviální
geniality	bodrost
geniality	vlídnost
geniality	žoviálnost
genially	vlídně
genic	genetický
genic	genový
geniculate	kolínkatý
genie	džin
genital	genitálie
genital	genitální
genitalia	genitálie
genitive	genitiv
genitor	zploditel
genitourinary	genitourinární
genitourinary	močopohlavní
genius	genialita
genius	geniální
genius	génius
genocide	genocida
genome	genom
genotype	genotyp
genre	žánr
gent	chlápek
gent	džentlmen
gent	pán
gent	zkratka džentlmen
genteel	nóbl
genteel	uhlazený
genteel	ušlechtilý
genteel	vznešený
genteelly	noblesně
genteelly	vznešeně
gentian	druh rostliny
gentian	hořec
gentile	nežidovský
gentility	vznešenost
gentle	jemný
gentle	laskavý
gentle	lehký
gentle	mírný
gentle	mírumilovný
gentle	něžný
gentle	pozvolný
gentle	vlídný
gentleman	džentlmen
gentleman	kavalír
gentleman	pán
gentlemanly	džentlmensky
gentlemanly	džentlmenský
gentlemanly	uhlazeně
gentleness	vlídnost
gentlewoman	dáma
gently	jemně
gently	laskavě
gently	mírně
gently	pozvolna
gentrification	nastěhovávání bohatších lidí
gentry	panstvo
genuflect	pokleknout
