elderly	postarší
eldest	nejstarší
eldorado	eldorádo
eldritch	tajemný
eldritch	tajuplný
elect	volit
elect	vybrat
elect	vybrat si
elect	zvolit
elect	zvolit si
election	volba
election	volby
election	volební
election	vyvolení
election	zvolení
electioneer	agitátor
elective	volený
elector	volič
electoral	volební
electorate	voliči
electric	elektrický
electrical	elektrický
electrically	elektricky
electrician	elektrikář
electrician	elektrotechnik
electricity	elektřina
electrification	elektrifikace
electrification	elektrizace
electrification	elektrizování
electrify	elektrifikovat
electrify	elektrizovat
electrify	zelektrizovat
electrocardiogram	elektrokardiogram
electrocardiograph	eKG
electrocardiograph	elektrokardiograf
electrocardiographic	elektrokardiografický
electrocardiography	elektrokardiografie
electrochemical	elektrochemický
electrochemistry	elektrochemie
electrocute	popravit
electrocute	popravit elektřinou
electrocution	poprava
electrocution	poprava elektrickým křeslem
electrode	elektroda
electroencephalogram	elektroencefalogram
electrolysis	elektrolýza
electrolyte	elektrolyt
electrolytic	elektrolytický
electromagnet	elektromagnet
electromagnetic	elektromagnetický
electromagnetism	elektromagnetismus
electromechanical	elektromechanický
electromotive	týkající se výroby elektřiny
electron	elektron
electroneutral	elektroneutrální
electronic	elektronický
electronically	elektronicky
electrophoresis	elektroforéza
electroshock	elektrošok
electrostatic	elektrostatický
electrum	elektron
eleemosynary	charitativní
eleemosynary	dobročinný
elegance	elegance
elegant	elegantní
elegant	vkusný
elegantly	elegantně
elegiac	elegický
elegy	elegie
elegy	žalozpěv
element	dílec
element	element
element	prvek
element	složka
element	článek
element	částice
element	živel
elemental	základní
elemental	živelní
elementary	základní
elephant	slon
elephantiasis	elefantiáza
elephantine	sloní
elevate	povznést
elevate	pozdvihnout
elevate	pozvednout
elevate	vyvýšit
elevate	zvednout
elevation	elevace
elevation	povýšení
elevation	vyvýšenina
elevation	zvednutí
elevation	zvýšení
elevator	dopravník
elevator	elevátor
elevator	výtah
elevator	zdviž
eleven	jedenáct
eleven	jedenáctka
eleventh	jedenáctý
elf	diblík
elf	elf
elf	skřítek
elfin	drobný
elicit	odvodit
elicit	vylákat
elicit	zjistit
elicitation	vyvolání
elide	redukovat
elide	vynechat
eligibility	kvalifikace
eligibility	vhodnost
eligibility	volitelnost
eligibility	způsobilost
eligible	oprávněný
eligible	přicházející v úvahu
eligible	schopný
eligible	vhodný
eligible	způsobilý
eliminate	eliminovat
eliminate	odstranit
eliminate	odstraňovat
eliminate	vyloučit
eliminate	zlikvidovat
elimination	eliminace
elimination	eliminování
elimination	odstranění
elimination	vyřazení
eliminator	eliminátor
elision	elize
elite	elita
elite	elitní
elite	vybraný
elitism	elitářství
elitist	elitář
elixir	elixír
elk	los
ell	délková míra loket
ell	přístavek
ellipse	elipsa
ellipsis	výpustka
ellipsoid	elipsoid
ellipsoidal	elipsoidní
elliptic	eliptický
elliptical	elipsovitý
elliptical	eliptický
elm	jilm
elocution	řečnické umění
elongate	prodloužit
elongation	elongace
elongation	prodloužení
elongation	protažení
elope	utéci za účelem sňatku
elopement	dobrovolný únos
elopement	opuštění manžela
elopement	útěk
eloquence	výmluvnost
eloquent	výmluvný
eloquently	výmluvně
else	jinak
else	jinam
else	jinde
else	jindy
else	jiný
else	mimoto
elsewhere	jinam
elsewhere	jinde
elsewhere	někde jinde
elucidate	osvětlit
elucidate	vyjasnit
elucidate	vysvětlit
elucidation	objasnění
elucidation	vysvětlení
elude	unikat
elude	uniknout
elude	vyhnout se
elude	vyhýbat se
elude	vykroutit se
elusive	nepolapitelný
elusive	nezachytitelný
elusive	prchavý
elusive	unikající
elusiveness	prchavost
elute	propírat
elute	vyluhovat
elution	eluce
elution	vyluhování
elution	vymývání
elver	mladý úhoř
elves	elfové
elves	skřítci
elvish	skřítkovský
elysian	elisejský
elysian	elysejský
elysian	rajský
em	písmeno m
emaciation	hubnutí
emaciation	vyčerpanost
email	emailový
emanate	vyzařovat
