reed	rákosí
reedy	rákosnatý
reef	skalisko
reef	úskalí
reef	útes
reek	puch
reek	páchnout
reek	zápach
reel	cívka
reel	kotouč
reel	motat
reel	naviják
reel	navíjet
reel	navíječka
reel	odvíjet
reel	role
reel	vrávorat
reel	zavrávorat
reelection	opětovné zvolení
reentrant	znovu vstupující
reestablish	obnovit
reestablish	opětovně založit
reevaluate	opětovně ocenit
reevaluate	přehodnotit
reevaluation	přehodnocení
reeve	prostrkovat
reexamination	opětovné vyšetření
reexamine	přezkoušet
ref	reference
ref	sudí
refashion	opětovně upravit
refectory	refektář
refer	odvolávat se
refer	poukázat
referable	někomu připsatelný
referee	arbitr
referee	rozhodčí
referee	soudce
reference	doporučení
reference	narážka
reference	odkaz
reference	posudek
reference	zmínka
referendum	referendum
referent	náhražka
referential	odkazový
referential	referenční
referral	odkázání
refill	doplnit
refill	náplň
refinance	refinancovat
refine	pročistit
refine	rafinovat
refine	zjemnit
refine	zušlechťovat
refine	čistit
refinement	jemné rozlišování
refinement	prohnanost
refinement	rafinace
refinement	rafinovanost
refinement	zjemnění
refinement	zkujňování
refinement	zušlechťování
refiner	rafinér
refiner	zušlechťovač
refinery	rafinerie
refit	opravit
refit	seřídit
reflation	oživení ekonomie
reflation	reflace
reflect	obrazit
reflect	obrážet
reflect	odrazit
reflect	odrážet
reflect	přemýšlet
reflect	zrcadlit
reflectance	odrazivost
reflecting	odrážející
reflection	odlesk
reflection	odraz
reflection	zrcadlení
reflective	odrážející
reflectively	hloubavě
reflectively	přemítavě
reflectivity	odrazivost
reflectivity	odraznost
reflectivity	odrazovost
reflector	reflektor
reflex	reflex
reflexion	odraz
reflexion	přemítání
reflexion	reflex
reflexion	reflexe
reflexion	zrcadlení
reflexive	reflexivní
reflexivity	reflexivita
refloat	přeflotovat
refloat	stáhnout z mělčiny
reflux	flegma
reflux	reflux
reflux	zpětný tok
reforest	zalesnit
reforest	znovu zalesnit
reforestation	opětovné zalesnění
reforestation	zalesnění
reforestation	zalesňování
reforestation	znovuzalesnění
reform	napravit
reform	reforma
reform	reformovat
reformation	reforma
reformation	reformace
reformative	nápravný
reformative	reformační
reformatory	polepšovna
reformatory	reformátorský
reformer	reformátor
reformist	reformista
reformist	reformistický
reformulate	přeformulovat
reformulate	reformulovat
refract	lámat světlo
refractile	lomivý
refraction	lámání světla
refraction	refrakce
refractive	lomivý
refractive	refrakční
refractometer	refraktometr
refractoriness	žáruvzdornost
refractory	nepoddajný
refractory	neústupný
refractory	ohnivzdorný
refractory	tvrdošíjný
refractory	vzpurný
refractory	žáruvzdorný
refrain	refrén
refrain	zdržet se
refresh	obnovit
refresh	občerstvit
refresh	osvěžit
refresher	drink
refresher	osvěžující nápoj
refreshing	obnovující
refreshing	osvěžující
refreshingly	roztomile
refreshingly	svěže
refreshment	občerstvení
refreshment	osvěžení
refrigerant	chladivo
refrigerant	chladící
refrigerant	ochlazující
refrigerant	osvěžující nápoj
refrigerate	chladit
refrigerate	mrazit
refrigerate	ochladit
refrigeration	chladírna
refrigeration	chlazení
refrigeration	mrazení
refrigeration	ochlazování
refrigerator	chladnička
refrigerator	lednička
refrigerator	mraznička
refuel	doplnit palivo
refuel	natankovat
refuge	hledat útočiště
refuge	ostrůvek
refuge	uchýlit se
refuge	úkryt
refuge	útočiště
refuge	útulek
refugee	emigrant
refugee	uprchlík
refulgent	lesklý
refulgent	třpytivý
refulgent	zářivý
refund	hradit
refund	nahradit
refund	náhrada
refund	refundance
refund	refundovat
refund	vrácení
refund	zaplatit
refurbish	renovovat
refusal	odepření
refusal	odmítnutí
refusal	zamítnutí
refuse	odmítat
refuse	odmítnout
refuse	odpad
refuse	odpadky
refuse	zamítnout
refuse	zmetek
refutable	vyvratitelný
refutation	popření
refutation	protiargument
refutation	vyvrácení
refute	popřít
refute	vyvrátit
regain	znovu získat
regal	královský
