same	týž
sameness	jednotvárnost
sameness	stejnost
samizdat	samizdat
samovar	samovar
sample	ochutnat
sample	odebírat
sample	okusit
sample	ukázka
sample	ukázkový
sample	vzorek
sample	vzorkovat
sample	vzorkový
sample	vzorový
sample	zkušební
sampler	vzorkař
sampler	vzorkovač
sampling	vzorkovací
sampling	vzorkování
sampling	vzorkující
samurai	samuraj
sanatorium	léčebna
sanatorium	ozdravovna
sanatorium	sanatorium
sanctification	posvěcení
sanctify	posvětit
sanctimonious	pobožnůstkářský
sanctimonious	pokrytecký
sanctimony	pobožnůstkářství
sanction	sankce
sanctity	posvátnost
sanctuary	azyl
sanctuary	sanktuarium
sanctuary	svatostánek
sanctuary	svatyně
sanctuary	útočiště
sanctum	svatyně
sand	brousit
sand	kuráž
sand	písek
sand	písčina
sand	smirkovat
sandal	sandál
sandalwood	santal
sandbag	pytel písku
sandbank	písčina
sander	bruska
sandgrouse	stepokur
sandpaper	brusný papír
sandpiper	druh pobřežního ptáka
sandpit	pískoviště
sandstone	pískovec
sandstorm	písečná bouře
sandwich	obložený chlebíček
sandwich	sendvič
sandy	písečný
sane	duševně zdravý
sane	rozumný
sanely	rozumně
sang	zpíval
sangria	sangria
sanguinary	krvavý
sanguinary	krvelačný
sanguinary	krvežíznivý
sanguine	optimistický
sanitary	hygienický
sanitary	sanitní
sanitary	sanitární
sanitary	zdravotnický
sanitation	asanace
sanitation	hygiena
sanitation	ozdravění
sanitation	sanace
sanitise	vylepšit
sanity	duševní zdraví
sanity	logičnost
sanity	příčetnost
sanity	rozum
sanity	rozumnost
sanity	rozvážnost
sanity	zdravý rozum
sap	elán
sap	míza
sap	podemílat
sap	podkopat
sap	podkopávat
sap	podlomit
sap	podrývat
sapient	moudrý
sapient	mudrlant
sapient	plný moudrosti
saponification	saponifikace
saponification	zmýdelnatění
saponin	saponin
sapper	ženista
sapphire	safír
sappy	míznatý
sappy	svěží
sappy	šťavnatý
saprophytic	saprofytický
sapwood	bělové dřevo
sarcasm	sarkasmus
sarcastic	sarkastický
sarcastically	sarkasticky
sarcoid	sarkoid
sarcoma	sarkom
sarcophagus	sarkofág
sardine	olejovka
sardine	sardinka
sardonic	sardonický
sardonic	zatrpklý
sardonically	sardonicky
sardonically	zatrpkle
sardonyx	sardonyx
sari	sárí
sarong	druh malajského oděvu
sarong	sarong
sarsaparilla	zázvorové pivo
sartorial	krejčovský
sartorial	týkající se oblečení
sash	rám okna
sash	šerpa
sass	drzá napodobenina
sassafras	sassafras
sassy	drzý
satanic	satanický
satanic	ďábelský
satchel	aktovka
satchel	brašna
satchel	kabela
sate	nasycovat
sate	nasytit
sate	sytit
sateen	satén
satellite	družice
satellite	družicový
satellite	satelit
satiate	nasytit
satiation	nasycenost
satiation	nasycení
satiation	přesycení
satiation	sytost
satiety	přesycení
satiety	sytost
satin	satén
satinwood	saténové dřevo
satiny	hedvábný
satire	satira
satiric	satirický
satirical	jedovatý
satirical	satirický
satirical	výsměšný
satirically	satiricky
satirically	výsměšně
satirise	satirizovat
satirist	satirik
satisfaction	satisfakce
satisfaction	spokojenost
satisfaction	uspokojení
satisfaction	zadostiučinění
satisfactorily	uspokojivě
satisfactory	uspokojivý
satisfactory	uspokojující
satisfactory	vyhovující
satisfy	přesvědčit
satisfy	ujistit
satisfy	uspokojit
satisfy	vyhovět
satisfying	uspokojivý
satisfying	uspokojující
satsuma	mandarinka
saturate	nasytit
saturate	saturovat
saturation	sytost
saturnine	zachmuřelý
saturnine	zasmušilý
satyr	satyr
sauce	kompot
sauce	omáčka
sauce	poleva
saucepan	pánev
saucer	podšálek
saucer	talířek
saucer	tácek
saucily	drze
sauciness	drzost
sauciness	provokativnost
sauciness	všetečnost
saucy	drzý
sauerkraut	kyselé zelí
sauerkraut	zelí
sauna	sauna
saunter	loudání
saurian	ještěr
sausage	jitrnice
sausage	klobása
sausage	párek
sausage	salám
sausage	uzenka
sausage	vuřt
