myxoedema	myxedém
myxomatosis	myxomatóza
nab	sebrat
nab	čapnout
nabob	boháč z Orientu
nabob	nabob
nacelle	část letadla
nacre	perleť
nadir	nadir
nag	otrava
nag	otravovat
nag	rejpal
nag	rýt
nag	vyčítat
naiad	víla
nail	chytit
nail	cvok
nail	dráp
nail	hřeb
nail	hřebík
nail	lapnout
nail	nachytat
nail	nehet
nail	přibít
nail	přitlouci
nail	spár
nailer	hřebíkář
nailfile	pilníček na nehty
naive	naivní
naive	prostoduchý
naive	prostý
naively	naivně
naivete	naivita
naivety	naivita
nakedly	naze
nakedness	nahota
nakedness	obnaženost
namby-pamby	zženštilý
name	jmenovat
name	jméno
name	nazvat
name	nazývat
name	název
name	označit
name	pojem
name	pojmenovat
name	pojmenování
name	renomé
name	reputace
name	rod
name	stanovit
name	ustanovit
name	uvést
name	vyjmenovat
nameless	bezejmenný
namely	jmenovitě
namely	totiž
namely	zejména
nameplate	štítek se jménem
namer	jmenující osoba
namesake	jmenovec
nance	přihřátý
nance	zženštilý
nankeen	nankin
nanny	chůva
nanometre	nanometr
nanosecond	nanosekunda
nap	dřímat
nap	zdřímnout si
nap	zdřímnutí
nap	šlofík
napalm	napalm
nape	týl
nape	zátylek
nape	šíje
naphtha	nafta
naphthalene	naftalen
naphthalene	naftalín
napkin	servítek
napkin	ubrousek
nappy	plenka
narcissism	narcismus
narcissistic	narcistický
narcissus	narcis
narcolepsy	narkolepsie
narcosis	narkóza
narcotic	narkotický
narcotic	narkotikum
narcotic	narokotikum
narcotic	omamná látka
narcotic	omamující
narcotic	uspávací prostředek
nark	donašeč
nark	fízl
nark	práskač
nark	špicl
narrate	vykládat
narrate	vypravovat
narrate	vyprávět
narration	vyprávění
narrative	povídkový
narrative	příběh
narrative	vypravování
narrative	vypravující
narrative	vyprávěcí
narrative	vyprávění
narrative	výpravný
narrator	vypravěč
narrow	omezený
narrow	těsný
narrow	zužovat
narrow	zúžit
narrow	úzký
narrow	úžit se
narrow-mindedness	malichernost
narrowing	zužování
narrowly	těsně
narrowly	úzce
narthex	chrámová předsíň
narwhal	narval
nary	ani jeden
nasal	nosní
nasal	nosový
nascent	vznikající
nasopharynx	nosohltan
nastiness	odpornost
nastiness	ošklivost
nasturtium	řeřicha
nasty	hnusný
nasty	nechutný
nasty	nepříjemný
nasty	ošklivý
nasty	sprostý
natal	rodný
natal	vrozený
natal	zrozený
nates	hýždě
nation	lid
nation	národ
national	celostátní
national	nacionální
national	národnostní
national	národní
national	vlastenecký
nationalisation	zestátnění
nationalise	zestátnit
nationalise	znárodit
nationalism	nacionalismus
nationalism	nacionalizmus
nationalism	vlastenectví
nationalist	nacionalista
nationalistic	nacionalistický
nationality	národnost
nationality	občanství
nationality	příslušnost
nationality	státní občanství
nationality	státní příslušnost
nationalization	znárodnění
nationalize	znárodnit
nationally	národně
nationwide	celostátní
native	domorodec
native	domorodý
native	přirozený
native	rodilý
native	rodný
native	rodák
native-born	rodilý
nativist	nativista
nativity	narození
nativity	zrození
natter	kecat
natter	povídat
natty	obratný
natural	naturální
natural	normální
natural	přirozený
natural	přírodní
natural	vrozený
naturalisation	naturalizace
naturalise	aklimatizovat
naturalise	naturalizovat
naturalise	přizpůsobit
naturalise	zdomácnit
naturalism	naturalismus
naturalist	naturalista
naturalist	přírodovědec
naturalistic	naturalistický
naturalistic	přírodopisný
naturalization	naturalizace
naturalize	naturalizovat
naturalize	udělit občanství
naturalize	zdomácnět
naturally	pochopitelně
naturally	přirozeně
naturally	samozřejmě
naturalness	přirozenost
nature	charakter
nature	naturel
nature	podstata
