apraxia	apraxie
apricot	meruňka
apron	ochranný plech
apron	rampa
apron	zástěra
apropos	jako na zavolanou
apropos	k věci
apropos	vhod
apropos	vhodný
apse	apsida
apsidal	apsidální
apt	výstižný
apterous	bezkřídlí
aptitude	schopnost
aptness	výstižnost
aptness	zručnost
aqua	voda
aquamarine	akvamarín
aquamarine	akvamarínový
aquamarine	akvarín
aquarium	akváriový
aquarium	akvárium
aquatic	vodní
aquatint	akvantita
aqueduct	akvadukt
aqueous	vodný
aquifer	vodonosná vrstva
aquifer	zvodeň
aquiline	jako orlí zobák
arabesque	arabeska
arabesque	arabeskový
arable	orný
arachnid	pavoukovec
aragonite	aragonit
arbalest	samostříl
arbiter	arbitr
arbiter	rozhodce
arbiter	rozhodčí
arbiter	soudce
arbitrage	arbitráž
arbitrageur	arbitražér
arbitrageur	spekulant
arbitral	arbitrážní
arbitral	rozhodčí
arbitrarily	libovolně
arbitrarily	svévolně
arbitrariness	libovůle
arbitrary	arbitrární
arbitrary	doplňkový
arbitrary	libovolný
arbitrary	svévolný
arbitrate	rozhodnout
arbitrate	rozsoudit
arbitrate	rozsuzovat
arbitration	arbitráž
arbitrator	arbitr
arbitrator	rozhodčí
arboreal	stromový
arborescent	rozvětvený
arborescent	stromovitý
arboretum	arboretum
arbour	altán
arbour	altánek
arc	oblouk
arcade	arkáda
arcade	arkádový
arcade	podloubí
arcane	tajemný
arch	klenba
arch	klenout
arch	klenutí
arch	oblouk
arch	vyklenutí
archaeological	archeologický
archaeologist	archeolog
archaeology	archeologie
archaeopteryx	archeopteryx
archaic	archaický
archaic	starobylý
archaic	zastaralý
archaism	archaismus
archaism	archaizmus
archaistic	archaický
archaistic	archaistický
archaistic	archaizující
archangel	archanděl
archbishop	arcibiskup
archbishopric	arcibiskupství
archdeacon	arcijáhen
archdeaconry	arcijáhenství
archdiocese	archdiecéze
archdiocese	arcidiecéze
archeological	archeologický
archer	lukostřelec
archer	lučištník
archery	lukostřelba
archetypal	archetypní
archetypal	typický
archetype	archetyp
archetype	typický příklad
archetypical	typický
archiepiscopal	arcibiskupský
archipelago	souostroví
architect	architekt
architect	architektka
architect	stavitel
architectonic	architektonický
architectural	architektonický
architectural	stavitelský
architecturally	architektonicky
architecturally	stavitelsky
architecture	architektura
architecture	stavitelství
architrave	architráv
architrave	epistyl
archival	archivní
archival	archívní
archive	archiv
archive	archivní
archive	archivovat
archivist	archivář
archway	klenuté podloubí
archway	podloubí
arctic	arktický
arctic	ledový
arctic	ledově studený
arctic	polární
ardent	horlivý
ardent	nadšený
ardent	žhavý
ardent	žhoucí
ardently	vášnivě
ardently	vřele
ardour	horlivost
ardour	nadšení
ardour	zanícení
ardour	zápal
arduous	náročný
arduous	obtížný
arduous	pracný
are	ar
are	jsi
are	jsme
are	jsou
are	jste
area	areál
area	oblast
area	okrsek
area	plocha
area	prostor
area	pásmo
area	rozloha
area	rozsah
area	sféra
area	zóna
area	územní
area	území
areal	plošný
areal	prostorový
arena	aréna
argent	stříbrný
argent	stříbro
argentiferous	stříbronosný
argillaceous	jílovitý
argillaceous	jílový
arginine	arginin
argon	argon
argonaut	argonaut
argot	argot
argot	hantýrka
argot	slang
arguable	prokazatelný
arguable	sporný
arguably	pochybně
arguably	sporně
argue	argumentovat
argue	debatovat
argue	diskutovat
argue	hádat se
argue	polemizovat
argue	přít se
argue	tvrdit
arguing	dohadování
arguing	projednávání
arguing	tvrzení
argument	argument
argument	argumentace
argument	debata
argument	dohady
argument	důvod
argument	hádka
argument	polemika
argumentation	argumentace
argumentation	dokazování
argumentative	argumentující
argumentative	polemický
argumentative	svárlivý
argumentatively	kontroverzně
argyle	pletený vzor
aria	árie
