racket	rámus
racketeer	vyděrač
rackety	hlučný
racoon	mýval
racquet	pálka
racquet	raketa
racy	jadrný
racy	osobitý
racy	pikantní
radar	radar
radar	radiolokátor
raddle	červený okr
radial	paprskovitý
radial	radiální
radian	radián
radiance	oslnivost
radiance	zář
radiance	záře
radiance	záření
radiant	oslnivý
radiant	oslňující
radiant	radiant
radiant	rozzářený
radiant	zářivý
radiant	zářič
radiant	zářící
radiantly	rozzářeně
radiate	vyzařovat
radiate	zářit
radiation	radiace
radiation	sálání
radiation	vyzařování
radiation	záření
radiator	radiátor
radiator	topné těleso
radiator	zářič
radical	důkladný
radical	odmocnina
radical	radikál
radical	radikální
radical	základní
radicalism	radikalizmus
radically	radikálně
radio	autorádio
radio	radiopřijímač
radio	rozhlas
radio	rádio
radioactive	radioaktivní
radioactivity	radioaktivita
radiobiology	radiobiologie
radiocarbon	radioaktivní uhlík
radiograph	radiograf
radiograph	rentgenogram
radiograph	rentgenový snímek
radiographer	rentgenolog
radiographic	radiografický
radiographic	rentgenový
radiography	rentgenografie
radioisotope	radioizotop
radiological	radiologický
radiologist	radiolog
radiology	radiologie
radiometer	radiometr
radiotherapy	radioterapie
radish	ředkev
radish	ředkvička
radium	radium
radium	rádium
radius	akční rádius
radius	dosah
radius	poloměr
radius	rádius
radix	kořen
radix	základ
radon	radon
raffia	druh palmy
raffia	rafie
raffish	zašlý
raffish	zpustlý
raffle	tombola
raft	nafukovací člun
raft	prám
raft	raft
raft	vor
rafter	krokev
rafter	vorař
rag	hadr
rag	prachovka
ragamuffin	otrhanec
ragbag	směsice
rage	běsnit
rage	hněv
rage	nadšení
rage	vztek
rage	vášeň
rage	zuřit
rage	zuřivost
raggedly	otrhaně
raggedness	otrhanost
raging	prudký
raging	vzteklý
raging	zuřivý
raging	zuřící
raglan	raglán
ragout	ragú
ragout	ragů
ragtag	chátra
ragtag	lůza
ragtime	ragtime
ragwort	přímětník
raid	nájezd
raid	nálet
raid	přepadení
raid	razie
raid	zátah
raid	útok
raid	šťára
raider	nájezdník
rail	kolej
rail	kolejnice
rail	mantinel
rail	ohradit
rail	zábradlí
raillery	popichování
raillery	škádlení
railroad	železnice
railway	dráha
railway	trať
railway	železnice
railway	železniční
railwayman	železničář
raiment	roucho
rain	dešťový
rain	déšť
rain	pršet
rainbow	duha
raincoat	nepromokavý
raincoat	pláštěnka
raincoat	plášť do deště
raindrop	dešťová kapka
rainfall	dešťové srážky
rainfall	déšť
raining	prší
rainless	bez deště
rainless	bezdeštný
rainproof	nepromokavý
rainstorm	liják
rainwater	dešťová voda
rainy	deštivý
raise	nadnášet
raise	nadzdvihnout
raise	napřímit
raise	obstarat
raise	opatřit
raise	opatřit si
raise	podnítit
raise	postavit
raise	povznést
raise	povýšit
raise	pozdvihnout
raise	pozvednout
raise	pěstovat
raise	sehnat
raise	vybudovat
raise	vyburcovat
raise	vychovat
raise	vypěstovat
raise	vyvolat
raise	vyzvednout
raise	vztyčit
raise	zdvihat
raise	zdvihnout
raise	zvedat
raise	zvednout
raise	zvedání
raise	zvyšovat
raise	zvýšení
raise	zvýšit
raiser	pěstitel
raisin	hrozinka
raising	zvedání
raising	zvýšení
raj	panství
raj	vláda
raja	rádža
rajah	rádža
rake	flamendr
rake	hejsek
rake	hrabat
rake	hrábě
rake	hřeblo
rake	shrabovat
rake	sklon
rake	zhýralec
rake	zpustlík
rake	škrabka
rake	škrabák
rakish	frajerský
rally	manifestace
rally	shromáždění
